1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.573324	0.000000	317.428450	0.011560	1813.3
1	-0.553257	0.000000	317.428450	0.015963	7.5
2	-0.574381	1.000000	302.999884	0.019094	5.9
3	-0.560944	2.000000	289.825981	0.015342	5.9
4	-0.576670	3.000000	277.749898	0.010352	5.9
5	-0.578927	3.997361	266.668049	0.008448	5.8
6	-0.556909	4.996792	256.416159	0.014539	8.3
7	-0.528258	5.990100	246.979356	0.011094	5.7
8	-0.546365	5.436034	252.155733	0.013059	5.8
9	-0.568208	6.436034	242.965056	0.007312	10.2
10	-0.572214	7.436034	234.420789	0.005151	5.8
11	-0.556807	8.381635	226.876330	0.007687	6.5
12	-0.592516	9.367000	219.514521	0.008587	11.1
13	-0.553950	8.816269	223.569136	0.008287	6.1
14	-0.557504	9.716783	217.014829	0.006434	7.1
15	-0.588793	10.690859	210.344484	0.007491	9.3
16	-0.593297	11.683728	203.954625	0.007395	5.9
17	-0.557282	11.133491	207.447035	0.004367	5.9
18	-0.568536	11.193629	207.059520	0.006595	5.8
19	-0.555637	12.107099	201.346468	0.005123	5.6
20	-0.570551	12.027043	201.834521	0.011141	5.9
21	-0.582056	12.968068	196.243053	0.015132	6.1
22	-0.564801	13.968068	190.630989	0.017674	8.4
23	-0.551623	14.968068	185.330983	0.009035	9.3
24	-0.580120	15.968067	180.317718	0.011287	6.6
25	-0.561280	16.938440	175.705627	0.015999	5.9
26	-0.568928	17.938440	171.193232	0.005876	11.2
27	-0.570339	18.938440	166.906805	0.009909	5.7
28	-0.569915	19.938320	162.830266	0.008946	5.7
29	-0.578448	20.938162	158.948249	0.010639	6.7
30	-0.542866	21.938162	155.246455	0.012388	9.3
31	-0.583316	22.938162	151.713161	0.011102	6.0
32	-0.588914	23.937900	148.337983	0.010538	7.6
33	-0.575604	23.383515	150.190841	0.010176	5.9
34	-0.555561	22.829130	152.090571	0.012268	7.5
35	-0.554548	23.829130	148.697898	0.004669	8.0
36	-0.561214	23.429764	150.034499	0.006839	6.0
37	-0.575752	22.887002	151.890016	0.013937	6.3
38	-0.532218	22.421015	153.520073	0.012717	6.0
39	-0.580937	23.421015	150.064050	0.006516	9.7
40	-0.553827	22.866631	151.960552	0.007008	6.2
41	-0.534608	23.794832	148.811753	0.009836	6.0
42	-0.530801	23.240454	150.676516	0.007136	6.1
43	-0.576215	24.240279	147.346515	0.004754	11.3
44	-0.561720	24.421082	146.759988	0.008031	6.7
45	-0.571512	23.867970	148.569177	0.011297	7.4
