1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000000	627.201626	0.000000	1729.3
1	-0.529779	623.504937	0.012827	15.7
2	-0.811999	619.865785	0.011562	11.5
3	-0.486614	616.282728	0.008708	7.8
4	-0.618949	612.754375	0.025750	7.8
5	-0.415508	609.279381	0.012006	6.7
6	-0.289924	605.856447	0.005148	6.7
7	-0.000000	602.484317	0.000000	6.3
8	-0.705535	599.161779	0.011824	6.6
9	-0.000000	595.887656	0.000000	12.2
10	-0.934745	592.660813	0.016681	8.2
11	-0.000000	589.480151	0.000000	16.9
12	-0.141793	586.344606	0.002637	4.8
13	-0.000000	583.253145	0.000000	13.2
14	-0.838462	580.204771	0.009745	12.3
15	-0.901257	577.198517	0.012589	6.8
16	-0.068577	574.233444	0.003303	8.0
17	-0.052048	571.308645	0.001304	6.6
18	-0.812930	568.423237	0.010736	6.9
19	-0.000000	565.576365	0.000000	7.3
20	-0.000000	562.767201	0.000000	8.4
21	-0.000000	559.994938	0.000000	9.9
22	-0.500127	557.258797	0.006447	9.9
23	-0.000000	554.558018	0.000000	8.3
24	-0.555856	551.891865	0.010494	6.4
25	-1.139381	549.259621	0.017272	6.5
26	-1.117560	546.660592	0.014266	12.2
27	-0.932315	544.094102	0.004934	10.2
28	-0.012674	541.559494	0.000933	10.1
29	-0.676659	539.056129	0.007899	6.6
30	-0.583857	536.583387	0.014294	6.5
31	-0.775162	534.140663	0.016386	7.2
32	-0.847464	531.727370	0.015821	12.3
33	-0.453475	529.342935	0.002713	13.7
34	-0.314527	526.986802	0.008200	6.6
35	-0.953155	524.658430	0.009940	17.2
36	-0.120173	522.357290	0.000984	3.6
37	-0.887378	520.082868	0.013916	7.0
38	-0.615478	517.834665	0.009240	6.6
39	-0.000000	515.612193	0.000000	8.5
40	-0.899432	513.414976	0.018712	6.8
41	-1.223755	511.242551	0.015825	7.0
42	-0.578900	509.094468	0.015215	7.0
43	-1.040183	506.970285	0.011814	6.5
44	-1.099824	504.869574	0.009249	6.9
45	-0.004115	502.791916	0.000062	13.8
46	-0.143918	500.736903	0.000932	11.9
47	-0.151679	498.704137	0.003066	6.4
48	-0.000001	496.693228	0.000001	9.1
49	-0.904158	494.703798	0.008011	8.0
50	-0.407921	492.735476	0.006604	10.8
51	-0.400666	490.787900	0.009073	6.6
52	-0.152188	488.860718	0.002130	6.8
53	-1.103634	486.953585	0.009558	6.9
54	-0.799409	485.066164	0.017971	8.5
55	-1.116115	483.198126	0.016937	12.0
56	-0.000000	481.349149	0.000000	11.8
57	-0.000000	479.518920	0.000000	7.4
58	-0.518095	477.707132	0.005519	7.7
59	-0.000000	475.913485	0.000000	6.9
60	-1.228633	474.137684	0.011325	10.9
61	-0.018774	472.379445	0.000727	10.1
62	-0.292580	470.638485	0.005743	7.5
63	-0.501572	468.914531	0.007062	6.4
64	-0.907992	467.207315	0.006884	7.7
65	-1.305991	465.516573	0.006940	9.6
66	-0.631555	463.842050	0.013243	8.7
