1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.551455	0.000000	406.370126	0.006836	1998.5
1	-0.512949	0.000000	406.370126	0.006190	5.7
2	-0.555007	0.999966	387.899358	0.007605	6.5
3	-0.481601	0.584405	395.367515	0.015434	7.1
4	-0.527906	1.584405	377.861297	0.010412	5.9
5	-0.498950	2.584405	361.839638	0.005648	6.5
6	-0.493030	3.569652	347.329814	0.010987	6.2
7	-0.505777	4.568580	333.760129	0.006005	6.7
8	-0.501217	4.127873	339.613812	0.013399	9.6
9	-0.513842	5.127873	326.615670	0.008215	8.1
10	-0.508167	6.127873	314.575814	0.011516	11.0
11	-0.512666	7.127873	303.392039	0.009530	7.9
12	-0.512126	8.127873	292.976172	0.005974	6.6
13	-0.524246	9.109955	283.420302	0.007692	9.2
14	-0.509228	10.108033	274.326978	0.003475	6.1
15	-0.544772	10.722168	269.016058	0.008440	6.4
16	-0.548010	10.624101	269.850283	0.011201	6.1
17	-0.506340	11.624101	261.578782	0.006625	5.8
18	-0.533789	12.624101	253.799279	0.010081	9.0
19	-0.515270	13.348030	248.450132	0.022458	11.2
20	-0.515646	14.348030	241.421448	0.022054	6.9
21	-0.525593	15.348030	234.779508	0.009923	9.6
22	-0.520771	16.348030	228.493246	0.009077	7.7
23	-0.520955	15.907399	231.221188	0.005830	11.3
24	-0.532426	15.585948	233.252738	0.012921	8.5
25	-0.531960	16.585947	227.046897	0.007505	8.0
26	-0.524724	17.585947	221.162711	0.009754	7.9
27	-0.518489	18.548782	215.778392	0.005513	6.0
28	-0.505728	19.548511	210.458349	0.005609	9.8
29	-0.516519	19.119072	212.711115	0.005741	7.7
30	-0.521379	20.118988	207.538488	0.013525	11.2
31	-0.532599	21.118988	202.611055	0.016547	6.3
32	-0.538544	22.118988	197.912172	0.009323	6.3
33	-0.528367	23.118988	193.426300	0.007237	7.9
34	-0.530344	23.079631	193.599005	0.004369	12.5
35	-0.541276	22.722141	195.181946	0.011356	10.5
36	-0.531246	22.297506	197.096171	0.006658	6.2
37	-0.532819	23.297495	192.646844	0.005917	10.3
38	-0.515259	22.856889	194.582259	0.010152	7.7
39	-0.510967	23.277946	192.731899	0.004952	10.8
40	-0.527021	22.837783	194.667068	0.007429	8.9
41	-0.513572	23.837743	190.325653	0.004672	6.2
42	-0.524894	23.397070	192.214772	0.007287	6.2
43	-0.533191	23.461378	191.936757	0.007402	11.2
44	-0.528082	23.020767	193.857882	0.006321	9.3
45	-0.533065	24.020766	189.551920	0.007894	6.1
46	-0.522514	23.583735	191.409999	0.008896	8.2
47	-0.532969	24.583734	187.210917	0.010868	16.9
