1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.258396	0.000000	418.155714	0.002681	1977.7
1	-0.250498	0.000000	418.155714	0.003270	10.2
2	-0.264327	0.985540	399.411151	0.005066	5.5
3	-0.250989	1.837266	384.514944	0.006192	10.7
4	-0.254589	2.837264	368.384134	0.003439	6.3
5	-0.254052	2.056396	380.860481	0.003703	5.6
6	-0.243784	2.610463	371.922826	0.005817	6.1
7	-0.244418	3.608888	356.833277	0.004053	5.9
8	-0.261722	2.804956	368.884104	0.003207	5.9
9	-0.243178	2.001179	381.774779	0.003941	9.1
10	-0.261178	1.364118	392.649962	0.002769	6.2
11	-0.252941	0.782499	403.134180	0.003921	9.1
12	-0.256036	1.775295	385.561192	0.003495	8.6
13	-0.268079	1.288316	393.985356	0.002583	7.9
14	-0.257145	2.241581	377.825849	0.004021	11.9
15	-0.265878	1.625772	388.109185	0.005324	6.1
16	-0.255208	1.089827	397.525516	0.003592	5.9
17	-0.249312	0.283056	412.594413	0.003038	5.8
18	-0.258102	1.198026	395.587877	0.015002	10.5
19	-0.251849	0.391221	410.508122	0.001417	6.1
20	-0.255604	1.290658	393.943955	0.003618	5.6
21	-0.246293	0.803967	402.737258	0.003576	10.8
22	-0.261376	0.041685	417.327312	0.005235	4.6
23	-0.247714	0.000000	418.155714	0.001927	6.1
24	-0.241337	0.748329	403.767575	0.004051	6.5
25	-0.261574	1.527123	389.808761	0.002072	6.7
26	-0.254841	2.462047	374.275531	0.006427	11.9
27	-0.262706	3.093888	364.460481	0.002387	6.4
28	-0.250904	2.445667	374.537001	0.002811	8.0
29	-0.259110	3.210841	362.699922	0.005477	7.4
30	-0.251550	4.173812	348.825592	0.003591	7.1
31	-0.268214	5.122301	336.159895	0.003694	6.4
32	-0.257210	5.498506	331.387364	0.001508	6.9
33	-0.257595	5.390448	332.744255	0.003698	5.8
34	-0.267350	6.287876	321.801150	0.005141	6.0
35	-0.262159	7.236941	310.985174	0.003560	6.3
36	-0.262896	8.166726	301.071497	0.003068	5.9
37	-0.260128	9.160069	291.155497	0.002098	7.7
38	-0.249100	9.304404	289.768770	0.004772	6.0
39	-0.246928	9.655103	286.453778	0.001505	9.9
40	-0.270415	9.799171	285.113841	0.002352	6.7
41	-0.251831	9.644012	286.557456	0.002474	11.5
42	-0.247864	10.568120	278.168925	0.003989	6.0
43	-0.261201	9.801017	285.096753	0.005626	6.0
44	-0.263290	10.799828	276.142060	0.004563	11.0
45	-0.256129	9.997507	283.289554	0.009170	9.2
46	-0.245433	9.193263	290.835408	0.003708	5.9
47	-0.271842	8.388581	298.798709	0.008233	11.4
48	-0.238526	7.581776	307.233181	0.002374	2.5
49	-0.263178	8.581566	296.849401	0.003588	5.8
50	-0.257898	9.545235	287.484116	0.002715	10.8
51	-0.251557	10.322916	280.346508	0.002522	6.9
52	-0.259235	11.098371	273.573694	0.003113	11.1
53	-0.271163	10.720173	276.835497	0.004043	5.7
54	-0.245167	10.039267	282.908416	0.005566	11.8
55	-0.255489	11.020109	274.242355	0.004246	2.6
56	-0.263892	10.215364	281.312433	0.003474	11.0
57	-0.269528	11.211133	272.615990	0.002364	2.7
58	-0.265489	11.548033	269.794187	0.002060	6.1
59	-0.244270	12.109277	265.220835	0.006485	9.0
60	-0.237556	12.565610	261.615090	0.007432	7.9
61	-0.253025	11.758811	268.058263	0.006359	7.9
62	-0.263371	12.758811	260.117869	0.001881	11.0
63	-0.239986	13.531184	254.299708	0.004766	8.8
64	-0.252158	14.410850	247.982470	0.009469	11.1
65	-0.265257	13.604046	253.764258	0.005047	5.3
66	-0.254076	12.953908	258.623252	0.005322	6.7
67	-0.265059	12.154341	264.860337	0.002109	8.0
68	-0.268301	13.152396	257.120172	0.004472	6.0
69	-0.241795	14.036022	250.635477	0.001442	9.9
70	-0.266205	13.544559	254.201244	0.004319	10.2
71	-0.248260	13.555951	254.117444	0.003485	6.0
72	-0.251345	12.750384	260.182820	0.002629	6.0
73	-0.248274	13.702954	253.040997	0.002529	6.3
74	-0.251635	14.428653	247.857856	0.001637	11.4
75	-0.258657	14.117060	250.057094	0.002269	11.9
76	-0.258829	13.658365	253.366539	0.002688	6.8
77	-0.255219	13.263698	256.284949	0.004067	6.6
78	-0.260064	12.581771	261.489185	0.004058	7.0
79	-0.257933	13.501475	254.518686	0.004156	11.8
80	-0.252552	13.993998	250.936462	0.001329	5.9
81	-0.254893	14.488519	247.439741	0.002768	8.4
82	-0.245249	14.915042	244.501174	0.005068	7.3
83	-0.253514	15.893093	238.019349	0.004588	6.0
84	-0.243228	16.201496	236.046153	0.004395	10.5
85	-0.263717	15.395285	241.274934	0.004675	6.3
