1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.553190	0.000000	744.028544	0.003117	2056.2
1	-0.548693	0.000000	744.028544	0.009070	9.7
2	-0.507187	1.000000	710.209064	0.009176	5.9
3	-0.565615	2.000000	679.330409	0.007150	11.3
4	-0.549651	3.000000	651.024976	0.005480	10.7
5	-0.559926	4.000000	624.983977	0.006879	6.6
6	-0.508989	4.999993	600.946296	0.006227	10.7
7	-0.554693	5.999993	578.689020	0.002315	6.3
8	-0.573544	6.100360	576.545819	0.005932	6.4
9	-0.551561	5.781467	583.410895	0.005775	11.3
10	-0.555271	6.781467	562.410891	0.003181	7.2
11	-0.554954	7.781466	542.870177	0.006693	8.0
12	-0.536052	8.781466	524.641720	0.006190	7.9
13	-0.532096	9.781466	507.597642	0.008920	6.2
14	-0.540987	10.781466	491.626143	0.003089	9.8
15	-0.538079	11.781466	476.629067	0.006884	5.4
16	-0.566038	12.687205	463.814063	0.005622	10.5
17	-0.531862	13.687205	450.442733	0.004930	6.3
18	-0.543384	14.687205	437.820766	0.003546	12.5
19	-0.553492	14.366541	441.790438	0.006084	10.7
20	-0.535415	15.366541	429.642171	0.005395	10.5
21	-0.566628	16.366541	418.144126	0.003705	6.9
22	-0.574436	17.366541	407.245460	0.005330	5.8
23	-0.552363	18.366540	396.900495	0.001958	9.0
24	-0.528529	19.363425	387.097963	0.004713	5.9
25	-0.562843	19.872326	382.278204	0.002353	10.3
26	-0.551907	19.557823	385.242552	0.004529	2.7
27	-0.568560	19.405691	386.693038	0.003345	10.2
28	-0.536315	20.093639	380.219412	0.002305	5.3
29	-0.555667	19.773120	383.208339	0.003741	5.8
30	-0.546253	20.150563	379.693457	0.001506	6.1
31	-0.570006	20.583475	375.740591	0.004500	11.3
32	-0.538194	20.277917	378.521997	0.006922	5.5
33	-0.546173	21.277917	369.568812	0.004017	11.4
34	-0.534704	22.277917	361.029380	0.002903	6.0
35	-0.547274	21.957785	363.719856	0.006965	11.1
36	-0.542370	22.957655	355.446606	0.004414	6.7
37	-0.550478	23.957655	347.540353	0.003440	6.3
38	-0.568299	24.957630	339.978357	0.006065	6.5
39	-0.545272	25.941511	332.852499	0.006528	5.9
40	-0.518262	26.941511	325.909612	0.004236	15.0
41	-0.541643	26.637163	327.991814	0.004435	7.6
42	-0.550891	27.627726	321.310507	0.006940	11.5
43	-0.556817	27.307074	323.443302	0.003198	12.1
44	-0.580677	28.307074	316.883528	0.004108	7.0
45	-0.566517	29.307068	310.584576	0.003511	8.3
46	-0.562775	30.306175	304.536432	0.003499	8.0
47	-0.538499	29.985615	306.451132	0.005098	6.1
48	-0.543976	30.979979	300.588798	0.003509	10.5
49	-0.544473	31.979979	294.915168	0.008211	1.5
50	-0.560518	32.979979	289.451751	0.004523	5.9
51	-0.568812	33.979979	284.187075	0.007057	11.0
52	-0.545525	33.659314	285.854292	0.005439	5.7
53	-0.572556	34.659314	280.718506	0.004821	6.1
54	-0.527365	35.047461	278.774438	0.003723	11.2
55	-0.520372	34.726796	280.378572	0.003320	8.6
56	-0.567100	35.726795	275.435964	0.005242	7.7
57	-0.531985	35.406136	277.001768	0.004836	8.2
58	-0.540164	35.085787	278.583938	0.004197	11.3
59	-0.558539	34.781205	280.105089	0.002119	6.1
60	-0.547289	34.466174	281.696002	0.004203	10.5
61	-0.538744	35.447588	276.798351	0.005734	6.3
62	-0.548484	35.126923	278.379760	0.003238	5.1
63	-0.541052	36.123819	273.521617	0.001965	5.0
64	-0.554889	35.835240	274.910417	0.004361	5.0
65	-0.544133	35.519734	276.445027	0.006929	10.3
66	-0.499659	36.519734	271.638937	0.003656	5.6
67	-0.545757	37.519734	266.997102	0.002214	6.2
68	-0.555975	38.518228	262.517886	0.005603	10.9
69	-0.540820	38.216913	263.853661	0.004595	10.0
70	-0.582740	39.178851	259.636052	0.005846	7.9
71	-0.574732	38.858186	261.026944	0.003195	8.0
72	-0.546381	38.586312	262.217929	0.002898	11.9
73	-0.546355	39.112507	259.922606	0.003172	6.6
74	-0.532690	38.801346	261.275048	0.003491	11.3
75	-0.542398	38.480937	262.682468	0.006814	10.2
76	-0.556348	38.160278	264.106254	0.006411	6.5
77	-0.519999	37.851665	265.491203	0.002378	11.9
78	-0.550463	37.531000	266.945710	0.002563	6.3
79	-0.564646	37.246232	268.250821	0.002744	12.1
80	-0.558082	36.961465	269.568745	0.004780	11.4
81	-0.607845	36.689316	270.840436	0.004025	11.4
82	-0.539575	36.368650	272.354313	0.004762	1.5
83	-0.549157	37.212299	268.407186	0.003962	11.2
84	-0.522809	38.212299	263.874222	0.006088	6.9
85	-0.556084	39.211614	259.494777	0.002135	6.3
86	-0.550500	38.891007	260.883898	0.003529	7.5
87	-0.568229	39.887956	256.612314	0.003661	7.6
88	-0.546229	39.567332	257.970740	0.004001	5.8
89	-0.546635	40.567265	253.780958	0.003367	5.9
90	-0.550450	41.564765	249.734807	0.007724	10.8
91	-0.556265	42.564765	245.805982	0.007219	11.7
92	-0.557668	43.564765	241.998859	0.003378	4.9
93	-0.533598	44.408868	238.875857	0.003016	10.6
94	-0.552708	44.119092	239.938841	0.003028	7.4
95	-0.545170	44.174763	239.733889	0.003238	10.8
96	-0.556397	45.169571	236.129676	0.002830	5.9
97	-0.550189	44.848919	237.279514	0.002112	6.1
98	-0.574435	45.050325	236.555979	0.005979	10.5
99	-0.524580	44.781775	237.521707	0.004203	15.4
100	-0.568317	44.465103	238.670659	0.006414	7.4
101	-0.531544	45.464870	235.080568	0.003783	11.4
102	-0.527590	45.144210	236.220212	0.003450	9.5
103	-0.563986	45.040552	236.590986	0.003268	5.7
104	-0.538633	46.040512	233.062054	0.005673	10.0
105	-0.547167	47.040512	229.636711	0.002737	7.7
106	-0.557088	46.719848	230.724078	0.006219	5.8
107	-0.548921	46.399186	231.821783	0.005958	6.6
108	-0.545336	47.399186	228.432536	0.002748	11.4
109	-0.563578	48.399082	225.141297	0.004018	9.5
110	-0.552933	48.078773	226.185250	0.003427	11.4
111	-0.557954	49.078674	222.957977	0.002938	11.4
112	-0.557901	50.076303	219.828531	0.007253	7.2
113	-0.551027	50.765254	217.718166	0.004694	6.1
114	-0.530102	51.765254	214.726104	0.005630	11.2
115	-0.546117	52.765254	211.815165	0.003844	10.8
116	-0.557802	53.765254	208.982096	0.009240	4.1
117	-0.542641	53.444589	209.882272	0.002008	7.8
