1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.330960	0.000000	111.786887	0.004038	1704.9
1	-1.333041	0.000000	111.786887	0.047448	1.5
2	-0.981585	1.000000	106.705665	0.065293	1.4
3	-1.142299	2.000000	102.066288	0.083467	1.5
4	-0.872629	3.000000	97.813526	0.055902	3.8
5	-1.277231	4.000000	93.900985	0.087269	2.0
6	-0.822627	3.959644	94.052808	0.047038	1.4
7	-1.097479	4.959644	90.429769	0.077650	1.5
8	-0.987085	4.919288	90.570566	0.072520	3.2
9	-1.124060	5.919288	87.206043	0.083757	2.2
10	-0.959814	6.919288	84.082538	0.070408	1.6
11	-1.210798	7.919288	81.175048	0.101272	1.5
12	-0.819601	8.919288	78.461914	0.050729	1.7
13	-1.072919	9.919288	75.924277	0.091133	1.7
14	-0.934770	9.878933	76.023503	0.073735	1.4
15	-1.161722	10.878933	73.638746	0.109565	1.4
16	-0.836845	11.878933	71.399052	0.060121	4.2
17	-1.163460	12.878933	69.291576	0.092526	1.6
18	-0.987604	12.838577	69.374212	0.069089	1.7
19	-1.308563	13.838577	67.382908	0.086547	1.4
20	-0.964339	14.838577	65.502730	0.065597	1.4
21	-1.288073	15.838577	63.724628	0.057872	1.4
22	-1.094388	15.798221	63.794514	0.078430	1.4
23	-1.159505	16.798221	62.106749	0.092323	1.4
24	-1.053568	17.798221	60.505986	0.075923	1.4
25	-1.229211	18.798221	58.985667	0.103529	1.3
26	-0.938856	19.798221	57.539877	0.070949	1.5
27	-1.259844	20.798221	56.163266	0.078079	1.3
28	-1.025687	20.757865	56.217544	0.086815	1.4
29	-1.209469	21.757865	54.902755	0.094460	1.5
30	-0.978229	22.757865	53.648061	0.082658	1.4
31	-1.305774	23.757865	52.449432	0.082778	1.2
32	-1.053082	24.757865	51.303194	0.085142	1.3
33	-1.270017	25.757865	50.205984	0.082709	1.4
34	-1.060679	26.757865	49.154723	0.083015	1.2
35	-1.287065	27.757865	48.146583	0.087103	1.3
36	-1.022940	28.757865	47.178966	0.084615	1.3
37	-1.250683	29.757865	46.249475	0.091391	1.3
38	-1.004794	30.757865	45.355901	0.081588	1.3
39	-1.305159	31.757865	44.496202	0.043737	1.5
40	-1.193924	32.757865	43.668487	0.101458	1.3
41	-1.049120	33.757865	42.871003	0.085946	1.2
42	-1.265394	34.757865	42.102125	0.091999	1.4
43	-1.079211	35.757865	41.360340	0.085462	1.2
44	-1.257863	36.757865	40.644241	0.069217	1.4
45	-1.156290	37.757865	39.952517	0.093626	1.4
46	-1.241447	38.757865	39.283944	0.114346	1.2
47	-1.109991	39.757865	38.637378	0.098620	1.2
