1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.211265	0.000000	116.872970	0.003061	1714.8
1	-1.212111	0.000000	116.872970	0.066276	1.4
2	-0.716409	1.000000	111.560562	0.037774	1.3
3	-0.963573	2.000000	106.710103	0.072569	1.3
4	-0.826259	1.953124	106.928033	0.059529	1.6
5	-1.012382	2.953124	102.463979	0.082796	1.6
6	-0.737859	3.953124	98.357720	0.048714	1.4
7	-1.052498	4.953124	94.567898	0.087481	1.4
8	-0.762650	4.906247	94.739015	0.040783	1.3
9	-0.955401	5.906247	91.217936	0.074797	1.3
10	-0.893512	5.859371	91.377134	0.070816	1.3
11	-0.996577	6.859371	88.097192	0.099987	1.3
12	-0.780737	7.859371	85.044554	0.045155	1.3
13	-0.995498	8.859371	82.196385	0.098315	1.3
14	-0.783836	8.812495	82.325628	0.047794	1.6
15	-1.064070	9.812495	79.653802	0.092023	1.5
16	-0.784046	9.765619	79.775167	0.055917	1.3
17	-1.028074	10.765619	77.263799	0.085464	1.3
18	-0.828867	10.718742	77.377985	0.052880	1.2
19	-0.983231	11.718742	75.013041	0.079354	1.3
20	-0.901248	11.671866	75.120667	0.051681	1.3
21	-1.114187	12.671866	72.889704	0.070684	1.3
22	-0.920181	12.624990	72.991319	0.065061	1.3
23	-1.149194	13.624990	70.883266	0.080657	1.4
24	-0.898383	14.624990	68.893560	0.056416	1.4
25	-1.122289	15.624990	67.012506	0.106631	1.3
26	-0.815208	15.578114	67.098385	0.042896	1.3
27	-0.970311	16.578114	65.312814	0.067593	1.5
28	-1.140079	16.531237	65.394390	0.099780	1.3
29	-0.826444	17.531237	63.697211	0.052081	1.3
30	-1.012812	18.531237	62.085898	0.106412	1.4
31	-0.868113	18.484361	62.159607	0.068477	1.3
32	-1.141484	19.484361	60.624209	0.044067	1.3
33	-1.017863	20.484361	59.162834	0.111062	1.2
34	-0.790045	21.484361	57.770255	0.060303	1.3
35	-1.042189	22.484361	56.441725	0.082987	1.3
36	-0.952082	22.437485	56.502635	0.091725	1.3
37	-0.998018	23.437485	55.231127	0.093183	1.3
38	-0.965114	24.437485	54.015586	0.087509	1.6
39	-0.985599	25.437485	52.852397	0.098580	1.4
40	-0.931656	26.437485	51.738248	0.079883	1.3
41	-1.128927	27.437485	50.670103	0.104281	1.3
42	-0.837224	28.437485	49.645170	0.067788	1.6
43	-1.117376	29.437485	48.660879	0.125476	1.2
44	-0.800990	29.390609	48.706146	0.060728	1.3
45	-0.991526	30.390609	47.758383	0.089464	1.3
46	-1.038753	30.343732	47.801986	0.094490	1.4
47	-1.000129	31.343732	46.888754	0.078409	1.2
48	-1.108989	32.343732	46.009761	0.108485	1.3
49	-0.899831	33.343732	45.163117	0.069088	1.3
50	-1.112735	34.343732	44.347070	0.105623	1.3
51	-0.913595	34.296856	44.384664	0.059585	1.5
52	-1.105690	35.296856	43.596260	0.119892	2.2
53	-0.869704	35.249980	43.632591	0.061777	1.5
54	-1.087931	36.249980	42.870449	0.116191	1.4
55	-0.915843	36.203104	42.905580	0.061313	1.3
56	-1.124385	37.203104	42.168411	0.109792	1.3
57	-0.918091	37.156227	42.202400	0.068465	1.3
58	-1.083624	38.156227	41.488994	0.093607	1.3
59	-0.986824	38.109351	41.521897	0.084349	1.3
60	-1.073589	39.109351	40.831124	0.091101	1.6
61	-0.972143	40.109351	40.162959	0.080092	1.6
62	-1.187856	41.109351	39.516310	0.108226	1.7
63	-0.929058	42.109351	38.890154	0.073938	1.8
64	-1.127122	43.109351	38.283532	0.083408	1.3
65	-1.033191	43.062475	38.311545	0.092418	1.3
66	-1.108502	44.062475	37.722702	0.100870	1.2
67	-0.965492	45.062475	37.151687	0.083178	1.3
68	-1.187590	46.062475	36.597700	0.091860	2.4
69	-0.959843	47.062475	36.059993	0.077028	1.5
70	-1.260968	48.062475	35.537857	0.027586	1.4
71	-1.143842	49.062475	35.030626	0.095042	1.3
72	-0.971009	50.062475	34.537671	0.076038	1.3
73	-1.198127	51.062475	34.058397	0.046010	2.0
74	-1.112108	52.062475	33.592242	0.091514	1.9
75	-1.089425	53.062475	33.138676	0.094080	1.3
76	-1.142645	54.062475	32.697195	0.094979	1.4
77	-1.077006	55.062475	32.267322	0.106411	1.5
78	-1.050254	56.062475	31.848606	0.097516	1.7
79	-1.101387	57.062475	31.440617	0.096455	1.5
80	-1.085856	58.062475	31.042949	0.109486	1.5
81	-1.032031	59.062475	30.655215	0.102629	1.7
82	-1.084824	60.062475	30.277047	0.111949	1.6
83	-1.024459	61.062475	29.908096	0.081565	1.6
84	-1.164120	62.062475	29.548028	0.079409	1.7
85	-1.060411	63.062475	29.196528	0.101489	1.4
86	-1.067781	64.062475	28.853291	0.100161	1.3
87	-1.079300	65.062475	28.518031	0.095587	1.6
88	-1.106883	66.062475	28.190473	0.116336	1.4
89	-1.022101	67.062475	27.870354	0.091716	1.3
90	-1.143615	68.062475	27.557424	0.090811	1.4
91	-1.012823	69.062475	27.251443	0.119322	1.5
92	-1.114917	70.062475	26.952182	0.110812	1.7
93	-1.083405	71.062475	26.659422	0.098981	1.9
94	-1.120838	72.062475	26.372954	0.103259	1.9
95	-1.088680	73.062475	26.092577	0.094517	1.6
96	-1.137990	74.062475	25.818099	0.101476	1.3
97	-1.026352	75.062475	25.549335	0.096232	1.3
98	-1.145278	76.062475	25.286109	0.105839	1.5
99	-1.017832	77.062475	25.028252	0.104709	1.9
100	-1.145345	78.062475	24.775601	0.100179	1.3
101	-1.047814	79.062475	24.528000	0.091438	1.5
102	-1.172657	80.062475	24.285298	0.089521	1.6
103	-1.068942	81.062475	24.047353	0.086458	1.9
104	-1.180628	82.062475	23.814025	0.089567	1.6
105	-1.046170	83.062475	23.585182	0.094268	1.8
106	-1.186086	84.062475	23.360694	0.102474	1.6
107	-1.089071	85.062475	23.140440	0.092678	1.4
108	-1.190944	86.062475	22.924301	0.091436	1.3
109	-1.068404	87.062475	22.712161	0.107776	1.5
110	-1.113129	88.062475	22.503912	0.116202	1.4
111	-1.060577	89.062475	22.299447	0.105513	1.4
112	-1.163270	90.062475	22.098664	0.118650	1.5
113	-1.049908	91.062475	21.901465	0.098632	1.5
114	-1.179829	92.062475	21.707754	0.093422	1.8
115	-1.080717	93.062475	21.517439	0.093293	1.6
116	-1.180250	94.062475	21.330433	0.072843	1.4
117	-1.132648	95.062475	21.146649	0.112410	1.6
118	-1.102277	96.062475	20.966004	0.088701	1.4
119	-1.151031	97.062475	20.788420	0.114428	1.6
120	-1.027888	98.062475	20.613820	0.105710	1.3
121	-1.165066	99.062475	20.442127	0.099412	1.6
122	-1.127605	100.062475	20.273271	0.094453	1.4
123	-1.185541	101.062475	20.107182	0.088505	1.6
124	-1.126359	102.062475	19.943792	0.092389	1.6
125	-1.167638	103.062475	19.783036	0.097247	2.8
126	-1.103686	104.062475	19.624850	0.097665	1.6
127	-1.167561	105.062475	19.469175	0.095136	1.5
128	-1.088828	106.062475	19.315950	0.099254	1.5
129	-1.161264	107.062475	19.165117	0.119512	1.5
130	-1.063442	108.062475	19.016623	0.086559	2.1
131	-1.200659	109.062475	18.870411	0.048046	1.6
132	-1.167217	110.062475	18.726431	0.096771	3.6
133	-1.114303	111.062475	18.584631	0.117850	1.7
134	-1.082320	112.062475	18.444963	0.105253	1.7
135	-1.160186	113.062475	18.307378	0.099925	1.5
136	-1.146747	114.062475	18.171830	0.104089	1.4
137	-1.147909	115.062475	18.038275	0.092663	1.5
138	-1.160949	116.062475	17.906669	0.094170	1.5
139	-1.142582	117.062475	17.776969	0.109142	1.4
140	-1.142481	118.062475	17.649135	0.095679	1.5
141	-1.150395	119.062475	17.523126	0.127146	1.5
142	-1.102076	120.062475	17.398903	0.096113	1.8
