1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.381611	627.201626	0.019762	1534.1
1	-0.944176	623.504937	0.003791	2.0
2	-1.719045	619.865785	0.006692	2.0
3	-1.203201	616.282728	0.026790	1.9
4	-0.531457	612.754375	0.006002	1.9
5	-1.289013	609.279381	0.002308	2.3
6	-1.253265	605.856447	0.004374	1.9
7	-1.398283	602.484317	0.003723	2.0
8	-1.708273	599.161779	0.007603	2.0
9	-0.000000	595.887656	0.000000	2.0
10	-0.828915	592.660813	0.012102	1.8
11	-1.739176	589.480151	0.007944	1.9
12	-1.490979	586.344606	0.008428	2.0
13	-1.674096	583.253145	0.012985	2.1
14	-1.282207	580.204771	0.069809	2.2
15	-0.169666	577.198517	0.005142	1.9
16	-1.335278	574.233444	0.035975	2.1
17	-1.794138	571.308645	0.014723	1.8
18	-0.635174	568.423237	0.008532	1.7
19	-1.496486	565.576365	0.014594	2.0
20	-0.000000	562.767201	0.000000	2.2
21	-1.383205	559.994938	0.004011	2.2
22	-1.233963	557.258797	0.015290	2.5
23	-1.281959	554.558018	0.029442	1.9
24	-1.203170	551.891865	0.011266	2.3
25	-1.042837	549.259621	0.005521	2.1
26	-1.758205	546.660592	0.022108	2.2
27	-0.447926	544.094102	0.025019	1.7
28	-0.825226	541.559494	0.005830	2.1
29	-0.366110	539.056129	0.006856	2.4
30	-1.465139	536.583387	0.025205	2.5
31	-0.938554	534.140663	0.007742	1.9
32	-1.188246	531.727370	0.004000	1.9
33	-1.199431	529.342935	0.006024	1.8
34	-0.173241	526.986802	0.004969	2.0
35	-0.409605	524.658430	0.008922	1.8
36	-1.705109	522.357290	0.012083	2.1
37	-1.274019	520.082868	0.023134	1.8
38	-0.878808	517.834665	0.015805	2.7
39	-0.000000	515.612193	0.000000	1.9
40	-0.019592	513.414976	0.001164	1.7
41	-0.000000	511.242551	0.000000	1.7
42	-1.146864	509.094468	0.011934	1.8
43	-1.494769	506.970285	0.055339	2.4
44	-1.618151	504.869574	0.025339	2.4
45	-1.173081	502.791916	0.029484	2.3
46	-0.188410	500.736903	0.002887	2.4
47	-1.711058	498.704137	0.034688	3.5
48	-0.000000	496.693228	0.000000	2.2
49	-0.867490	494.703798	0.026981	2.2
50	-1.599190	492.735476	0.021822	2.1
51	-0.901935	490.787900	0.015590	2.0
52	-0.923785	488.860718	0.010125	1.8
53	-0.471779	486.953585	0.007209	2.2
54	-1.963873	485.066164	0.032206	1.9
55	-1.221949	483.198126	0.036555	2.1
56	-1.662967	481.349149	0.019231	2.5
57	-1.285101	479.518920	0.003222	1.9
58	-1.796009	477.707132	0.061439	1.9
59	-1.142687	475.913485	0.041795	2.0
60	-0.777455	474.137684	0.019536	1.8
61	-1.079630	472.379445	0.009219	2.0
62	-1.147341	470.638485	0.027752	2.0
63	-1.493973	468.914531	0.029512	2.0
64	-0.514456	467.207315	0.008410	1.6
65	-0.928774	465.516573	0.016626	2.4
66	-0.000000	463.842050	0.000000	1.7
67	-1.213330	462.183494	0.031596	2.2
68	-1.143410	460.540658	0.053135	2.4
69	-0.235706	458.913303	0.004293	2.3
70	-1.640775	457.301192	0.021647	2.2
71	-1.449325	455.704096	0.054617	1.9
72	-0.275707	454.121787	0.004075	1.9
73	-0.170700	452.554045	0.003215	1.7
74	-0.180351	451.000653	0.004291	1.7
75	-1.653936	449.461399	0.036686	1.7
76	-0.163870	447.936075	0.002891	1.8
77	-1.583481	446.424477	0.006044	2.1
78	-1.773784	444.926406	0.019815	1.8
79	-1.135988	443.441666	0.051006	5.1
80	-1.216244	441.970065	0.026580	2.0
81	-0.054634	440.511415	0.001503	1.8
82	-1.338831	439.065533	0.045657	2.0
83	-1.544463	437.632238	0.081258	2.0
84	-1.292048	436.211351	0.007285	1.7
85	-1.727978	434.802701	0.028805	2.1
86	-0.593873	433.406117	0.007834	1.7
87	-1.196086	432.021430	0.012010	1.7
88	-1.467380	430.648479	0.044713	1.7
89	-0.915630	429.287101	0.011840	1.6
90	-1.603596	427.937140	0.024940	1.8
