1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000000	627.201626	0.000000	1606.7
1	-1.362027	623.504937	0.005035	1.7
2	-2.010145	619.865785	0.001358	1.7
3	-1.770388	616.282728	0.001577	1.5
4	-0.230661	612.754375	0.005450	1.5
5	-1.602554	609.279381	0.011118	1.5
6	-1.196259	605.856447	0.010488	1.4
7	-1.859260	602.484317	0.005175	1.6
8	-1.944301	599.161779	0.002752	1.5
9	-1.605867	595.887656	0.002476	1.5
10	-0.643448	592.660813	0.008333	1.5
11	-1.621843	589.480151	0.013321	1.5
12	-1.587137	586.344606	0.043422	1.6
13	-1.256631	583.253145	0.005266	1.6
14	-1.571960	580.204771	0.002375	1.5
15	-1.211954	577.198517	0.012681	1.6
16	-1.666143	574.233444	0.004390	1.5
17	-1.932682	571.308645	0.006173	1.5
18	-0.800411	568.423237	0.003088	1.5
19	-1.438082	565.576365	0.007574	1.5
20	-1.492967	562.767201	0.006439	1.5
21	-1.396537	559.994938	0.016258	1.7
22	-1.683175	557.258797	0.005543	1.5
23	-0.000000	554.558018	0.000000	1.5
24	-1.008404	551.891865	0.007225	1.5
25	-0.000004	549.259621	0.000000	1.5
26	-1.080504	546.660592	0.002100	1.7
27	-1.750457	544.094102	0.002900	1.5
28	-0.103434	541.559494	0.003324	1.5
29	-0.000000	539.056129	0.000000	1.5
30	-1.369330	536.583387	0.028473	1.7
31	-1.444290	534.140663	0.010586	1.5
32	-1.023030	531.727370	0.016159	1.6
33	-0.047636	529.342935	0.004233	1.6
34	-0.064470	526.986802	0.004298	1.6
35	-0.741364	524.658430	0.004206	1.5
36	-0.026021	522.357290	0.001178	1.6
37	-1.382277	520.082868	0.006978	1.5
38	-0.803577	517.834665	0.003382	1.5
39	-0.082970	515.612193	0.002780	1.6
40	-1.000528	513.414976	0.002357	1.5
41	-0.000001	511.242551	0.000000	1.5
42	-1.738376	509.094468	0.040801	1.6
43	-0.098636	506.970285	0.004655	1.5
44	-0.962276	504.869574	0.018454	1.5
45	-1.464634	502.791916	0.006196	1.6
46	-1.955881	500.736903	0.009550	1.5
47	-0.000000	498.704137	0.000000	1.5
48	-0.000001	496.693228	0.000000	1.7
49	-1.119959	494.703798	0.007957	1.6
50	-0.838555	492.735476	0.001206	1.7
51	-0.355819	490.787900	0.006920	1.9
52	-0.865696	488.860718	0.001953	1.6
53	-1.441725	486.953585	0.012650	1.7
54	-1.294474	485.066164	0.036306	1.7
55	-1.425661	483.198126	0.020573	1.7
56	-1.587054	481.349149	0.010982	1.9
57	-1.590007	479.518920	0.009152	1.9
58	-1.269312	477.707132	0.013682	1.9
59	-0.208538	475.913485	0.005826	1.9
60	-0.963870	474.137684	0.006412	1.7
61	-1.159118	472.379445	0.016242	1.7
62	-1.513515	470.638485	0.004735	2.1
63	-1.273749	468.914531	0.021495	1.7
64	-1.035249	467.207315	0.038288	1.6
65	-0.000000	465.516573	0.000000	1.5
66	-0.333492	463.842050	0.016006	1.5
67	-1.855080	462.183494	0.025009	1.7
68	-1.026329	460.540658	0.021674	1.7
69	-1.098175	458.913303	0.077003	1.5
70	-0.868680	457.301192	0.008499	1.5
71	-0.283129	455.704096	0.017515	1.5
72	-1.089502	454.121787	0.005722	1.5
73	-1.497310	452.554045	0.006942	1.5
74	-1.069279	451.000653	0.008972	1.6
75	-0.871532	449.461399	0.003890	1.8
76	-1.578508	447.936075	0.005357	1.7
77	-1.357485	446.424477	0.043623	1.9
78	-0.951977	444.926406	0.004797	1.5
79	-1.891558	443.441666	0.021897	1.5
80	-0.447826	441.970065	0.006106	1.5
81	-0.000000	440.511415	0.000000	1.5
82	-1.543259	439.065533	0.028632	1.5
83	-0.903798	437.632238	0.016420	1.6
84	-1.761301	436.211351	0.018244	1.5
85	-1.334081	434.802701	0.010257	1.6
86	-0.943753	433.406117	0.039741	1.7
87	-0.688751	432.021430	0.007776	1.6
88	-1.246617	430.648479	0.039108	1.8
89	-0.000000	429.287101	0.000000	1.5
90	-1.245664	427.937140	0.024402	1.7
91	-1.098822	426.598440	0.017030	1.5
92	-1.033446	425.270849	0.017328	1.7
93	-1.629193	423.954220	0.051557	1.5
94	-1.891247	422.648404	0.030314	1.5
95	-0.719799	421.353259	0.022788	1.5
96	-1.357053	420.068643	0.019333	1.6
97	-1.679757	418.794419	0.001736	1.6
98	-0.783331	417.530451	0.007008	1.5
99	-1.432314	416.276604	0.009032	1.5
100	-1.631142	415.032748	0.022315	1.6
101	-0.000000	413.798754	0.000000	1.6
102	-1.893632	412.574495	0.019592	1.7
103	-0.000003	411.359849	0.000000	1.6
104	-0.524361	410.154691	0.008929	1.8
105	-0.716174	408.958904	0.028191	1.8
106	-1.501467	407.772368	0.073905	1.5
107	-2.031747	406.594968	0.021097	1.6
108	-1.295756	405.426590	0.010783	1.6
109	-1.592293	404.267122	0.026938	1.6
110	-1.188803	403.116456	0.018561	1.6
111	-1.005090	401.974481	0.020227	1.9
112	-1.642509	400.841093	0.004680	1.5
113	-1.554635	399.716187	0.043026	1.5
114	-0.616310	398.599660	0.013527	1.5
115	-0.000000	397.491411	0.000000	1.7
116	-0.049653	396.391342	0.002050	1.5
117	-1.388784	395.299353	0.007561	1.6
118	-0.000000	394.215350	0.000000	1.5
119	-1.233966	393.139238	0.004347	1.5
120	-0.000000	392.070924	0.000000	1.5
121	-1.719181	391.010316	0.020213	1.7
122	-1.547387	389.957325	0.025383	1.7
123	-1.674543	388.911862	0.008792	1.5
124	-1.392098	387.873839	0.017603	1.6
125	-1.008535	386.843173	0.014016	1.6
126	-0.983840	385.819777	0.008806	1.5
127	-0.000042	384.803569	0.000011	1.6
128	-1.695101	383.794468	0.021098	1.5
129	-1.237238	382.792393	0.010031	1.7
130	-1.507314	381.797264	0.004904	1.5
131	-0.259833	380.809005	0.004999	1.7
132	-0.364594	379.827537	0.006874	1.5
133	-1.317694	378.852786	0.025176	1.7
134	-1.612746	377.884678	0.048835	1.7
135	-0.000852	376.923138	0.000138	1.5
136	-1.185367	375.968095	0.002604	1.6
137	-0.003074	375.019479	0.000422	1.7
138	-1.713803	374.077218	0.025707	1.8
139	-1.620314	373.141244	0.024992	1.5
140	-0.000000	372.211489	0.000000	1.7
141	-0.067557	371.287887	0.003031	1.5
142	-1.303621	370.370370	0.041113	1.6
143	-1.451233	369.458876	0.024967	1.6
144	-1.205867	368.553338	0.002558	1.6
145	-0.000000	367.653696	0.000000	1.6
146	-1.043740	366.759885	0.031915	1.6
147	-1.542593	365.871846	0.040684	1.5
148	-0.044570	364.989518	0.002232	1.5
149	-0.000000	364.112841	0.000000	1.5
150	-0.605181	363.241757	0.012158	1.5
151	-1.786859	362.376208	0.024200	1.5
152	-0.832817	361.516137	0.010765	1.6
153	-0.642215	360.661488	0.005563	1.5
154	-1.630530	359.812206	0.029503	1.6
155	-1.208166	358.968236	0.007780	1.5
156	-1.352417	358.129524	0.020267	1.6
157	-1.371601	357.296018	0.012350	1.5
158	-1.181718	356.467665	0.004268	1.5
159	-1.328645	355.644414	0.050183	1.6
160	-1.632951	354.826213	0.014034	1.6
161	-1.061798	354.013012	0.037112	1.6
162	-1.564033	353.204763	0.011752	1.5
163	-0.000009	352.401415	0.000000	1.6
164	-0.728509	351.602922	0.014687	1.5
165	-1.539370	350.809235	0.007889	1.6
166	-0.047787	350.020308	0.002186	1.6
167	-1.741521	349.236095	0.009972	1.5
168	-0.025337	348.456550	0.000695	1.5
169	-1.389767	347.681627	0.014825	1.5
170	-1.160863	346.911283	0.019721	1.5
171	-1.516965	346.145474	0.017662	1.5
172	-0.117715	345.384157	0.003698	1.6
173	-1.006918	344.627288	0.001981	1.5
174	-0.968575	343.874826	0.003650	1.5
175	-0.294483	343.126729	0.004990	1.7
176	-0.000000	342.382957	0.000000	2.1
177	-1.969753	341.643469	0.027934	1.9
178	-1.955097	340.908224	0.015265	2.0
179	-1.541655	340.177184	0.040114	2.1
180	-0.942743	339.450309	0.007645	1.7
181	-1.098376	338.727561	0.045322	1.7
182	-1.787066	338.008902	0.003896	1.9
183	-1.849613	337.294295	0.016369	1.6
184	-1.825473	336.583703	0.035821	2.3
185	-1.067198	335.877089	0.008083	1.6
186	-0.000576	335.174416	0.000110	1.6
187	-0.693784	334.475651	0.007186	1.6
188	-0.256006	333.780756	0.004454	1.5
189	-0.280589	333.089698	0.004602	1.5
190	-1.678541	332.402443	0.028532	1.5
191	-0.000000	331.718955	0.000000	1.5
192	-1.272199	331.039203	0.050833	1.6
193	-1.158117	330.363153	0.027768	1.7
194	-0.122564	329.690771	0.003806	1.9
195	-1.768316	329.022027	0.017977	2.0
196	-0.729235	328.356888	0.007868	1.8
197	-1.538874	327.695322	0.037111	1.6
198	-0.000000	327.037299	0.000000	1.6
199	-1.160557	326.382787	0.057307	1.7
200	-0.000000	325.731758	0.000000	1.6
201	-0.432442	325.084179	0.008594	1.9
202	-1.082864	324.440023	0.008614	2.4
203	-0.000000	323.799258	0.000000	1.7
204	-1.313109	323.161858	0.022686	2.3
205	-1.032967	322.527792	0.008962	1.8
206	-1.604927	321.897034	0.008502	2.2
207	-0.758113	321.269554	0.005295	1.9
208	-0.000000	320.645325	0.000000	1.5
209	-1.940993	320.024320	0.009149	1.8
210	-0.982908	319.406512	0.009148	1.9
211	-1.717309	318.791875	0.048906	1.9
212	-0.061538	318.180381	0.003522	2.2
213	-0.000015	317.572005	0.000000	1.9
214	-0.000859	316.966721	0.000153	1.8
215	-1.839278	316.364504	0.018061	1.8
216	-1.243728	315.765329	0.006937	2.0
217	-0.000851	315.169170	0.000179	2.0
218	-0.208851	314.576003	0.003087	2.1
219	-1.305020	313.985804	0.008671	2.1
220	-1.009933	313.398548	0.009380	2.1
221	-0.497994	312.814213	0.008153	4.1
222	-0.788143	312.232773	0.004793	1.9
223	-1.945247	311.654207	0.012905	2.2
224	-0.002194	311.078491	0.000341	1.7
225	-0.000000	310.505602	0.000000	1.8
226	-0.002810	309.935518	0.000535	1.7
227	-1.561429	309.368217	0.019122	1.8
228	-0.717573	308.803676	0.006127	2.0
229	-1.224899	308.241874	0.013451	1.7
230	-0.930287	307.682789	0.009714	1.7
231	-0.940050	307.126400	0.002314	2.1
232	-1.135308	306.572687	0.001494	1.6
233	-1.575468	306.021627	0.007782	1.6
234	-0.441278	305.473201	0.009648	1.7
235	-0.979221	304.927388	0.005864	1.9
236	-1.103432	304.384168	0.015375	2.5
237	-1.303794	303.843521	0.005084	2.2
238	-1.237296	303.305427	0.005516	2.1
239	-1.596353	302.769867	0.031515	2.0
240	-1.120348	302.236821	0.002956	2.2
241	-1.519447	301.706270	0.007241	2.0
242	-0.004340	301.178196	0.000372	2.1
243	-1.314630	300.652580	0.002999	1.9
244	-1.493186	300.129402	0.016653	2.4
245	-1.705612	299.608645	0.027291	2.2
246	-0.955145	299.090291	0.008005	1.6
247	-1.546709	298.574321	0.039812	1.6
248	-1.022819	298.060718	0.038280	1.7
249	-1.764286	297.549465	0.029184	1.4
250	-1.685446	297.040543	0.052104	1.9
251	-0.000000	296.533936	0.000000	1.6
252	-1.106042	296.029626	0.008378	1.4
253	-1.384014	295.527597	0.015732	1.5
254	-0.004718	295.027832	0.000536	1.7
255	-1.131070	294.530315	0.004265	1.6
256	-0.861495	294.035028	0.009468	2.0
257	-1.503167	293.541956	0.003854	1.6
258	-1.233521	293.051083	0.030309	1.5
259	-1.612999	292.562393	0.013188	1.5
260	-0.000000	292.075870	0.000000	1.6
261	-1.159469	291.591498	0.005414	1.6
262	-1.873777	291.109263	0.016191	1.5
263	-0.938809	290.629149	0.010095	1.5
264	-1.899392	290.151140	0.031439	2.1
265	-1.523536	289.675222	0.004374	1.8
266	-1.102389	289.201380	0.025685	1.8
267	-0.870202	288.729600	0.020873	1.6
268	-0.000000	288.259866	0.000000	1.5
269	-0.116636	287.792165	0.002841	2.0
270	-0.899119	287.326481	0.004849	2.0
271	-1.414195	286.862802	0.030725	1.8
272	-1.708093	286.401113	0.011925	1.9
273	-1.414377	285.941400	0.039467	2.5
274	-1.284812	285.483649	0.018396	1.8
275	-1.316102	285.027847	0.011814	1.9
276	-0.000000	284.573981	0.000000	1.7
277	-1.513475	284.122037	0.008061	1.7
278	-1.432854	283.672002	0.056273	1.7
279	-0.000000	283.223863	0.000000	1.6
280	-0.948992	282.777607	0.016445	2.0
281	-0.511790	282.333221	0.007493	1.9
282	-1.261876	281.890692	0.009063	1.5
283	-1.995237	281.450008	0.013553	1.5
284	-1.459731	281.011157	0.010279	1.4
285	-0.279379	280.574125	0.004023	1.5
286	-1.157598	280.138901	0.007503	1.6
287	-0.000000	279.705473	0.000000	1.7
288	-1.388144	279.273829	0.024771	1.5
289	-0.989393	278.843956	0.004940	1.5
290	-0.941166	278.415844	0.004678	1.8
291	-1.204519	277.989479	0.006488	1.5
292	-1.541601	277.564851	0.010194	1.6
293	-1.146490	277.141949	0.002059	1.6
294	-1.255809	276.720761	0.040667	1.6
295	-1.415789	276.301275	0.028070	1.5
296	-1.030617	275.883480	0.015056	1.5
297	-0.074755	275.467366	0.002241	1.5
298	-1.348201	275.052922	0.016522	1.5
299	-1.380721	274.640136	0.064150	1.5
300	-1.148108	274.228998	0.005297	1.5
301	-0.599324	273.819497	0.011756	1.5
302	-1.813240	273.411623	0.002070	1.5
303	-2.053648	273.005365	0.020918	1.6
304	-0.001459	272.600712	0.000225	1.5
305	-1.349559	272.197655	0.028446	1.8
306	-1.065277	271.796184	0.052135	1.4
307	-0.784791	271.396287	0.007447	1.5
308	-0.000000	270.997956	0.000000	1.5
309	-0.000000	270.601180	0.000000	1.6
310	-1.493251	270.205949	0.013954	1.5
311	-1.345710	269.812254	0.030990	1.5
312	-1.294471	269.420085	0.016438	1.4
313	-0.000000	269.029432	0.000000	1.5
314	-1.396285	268.640287	0.006752	1.9
315	-1.321484	268.252638	0.008512	1.5
316	-1.742242	267.866478	0.024440	1.5
317	-0.979004	267.481796	0.022809	1.5
318	-1.753650	267.098584	0.007137	1.9
319	-1.100587	266.716833	0.007856	1.8
320	-0.198637	266.336533	0.004685	1.9
321	-0.000000	265.957676	0.000000	1.9
322	-0.462574	265.580253	0.006426	1.9
323	-0.168372	265.204254	0.004206	1.4
324	-1.100214	264.829672	0.004929	1.5
325	-1.530779	264.456497	0.051061	1.4
326	-1.793536	264.084721	0.019225	1.5
327	-1.290680	263.714335	0.032524	1.5
328	-0.150662	263.345332	0.003823	1.4
