1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.545862	627.201626	0.004127	1688.5
1	-0.017441	623.504937	0.000168	9.3
2	-0.494698	619.865785	0.004056	12.0
3	-0.022472	616.282728	0.000795	6.6
4	-0.128679	612.754375	0.004582	12.3
5	-0.597581	609.279381	0.002024	11.8
6	-0.451964	605.856447	0.003778	8.7
7	-0.030169	602.484317	0.000489	6.8
8	-0.000000	599.161779	0.000000	7.2
9	-0.111400	595.887656	0.002608	5.9
10	-0.449608	592.660813	0.004197	6.4
11	-0.283687	589.480151	0.004195	13.8
12	-0.058704	586.344606	0.001680	4.7
13	-0.000000	583.253145	0.000000	7.1
14	-0.749668	580.204771	0.002294	6.8
15	-0.024550	577.198517	0.000634	7.2
16	-0.234045	574.233444	0.003018	6.8
17	-0.225789	571.308645	0.003694	6.9
18	-0.000000	568.423237	0.000000	12.8
19	-0.000000	565.576365	0.000000	6.4
20	-0.000000	562.767201	0.000000	6.7
21	-0.082344	559.994938	0.001764	7.2
22	-0.098423	557.258797	0.001125	6.8
23	-0.000000	554.558018	0.000000	6.6
24	-0.120274	551.891865	0.001327	6.8
25	-0.230934	549.259621	0.004138	10.5
26	-0.766060	546.660592	0.004215	6.7
27	-0.000000	544.094102	0.000000	6.7
28	-0.750249	541.559494	0.004684	6.7
29	-0.000000	539.056129	0.000000	6.5
30	-0.409077	536.583387	0.006302	12.0
31	-0.000000	534.140663	0.000000	13.1
32	-0.544146	531.727370	0.004265	7.4
33	-0.667266	529.342935	0.002247	6.9
34	-0.333236	526.986802	0.001298	7.4
35	-0.330113	524.658430	0.002420	6.9
36	-0.506387	522.357290	0.006824	6.8
37	-0.207451	520.082868	0.003619	7.2
38	-0.800240	517.834665	0.001861	7.0
39	-0.102485	515.612193	0.003480	6.9
40	-0.461427	513.414976	0.005241	6.6
41	-0.000000	511.242551	0.000000	6.6
42	-0.727302	509.094468	0.003492	9.7
43	-0.000000	506.970285	0.000000	6.6
44	-0.263739	504.869574	0.002640	8.5
45	-0.127102	502.791916	0.000719	8.8
46	-0.238042	500.736903	0.000892	8.0
47	-0.646179	498.704137	0.002620	6.6
48	-0.337921	496.693228	0.005989	7.3
49	-0.000000	494.703798	0.000000	7.4
50	-0.132887	492.735476	0.003172	7.7
51	-0.497544	490.787900	0.001602	7.2
52	-0.716622	488.860718	0.004906	6.7
53	-0.000000	486.953585	0.000000	6.7
54	-0.057745	485.066164	0.000219	6.9
55	-0.016128	483.198126	0.000357	7.0
56	-0.508612	481.349149	0.005888	7.4
57	-0.000066	479.518920	0.000002	12.5
58	-0.054286	477.707132	0.001140	3.7
59	-0.001399	475.913485	0.000234	8.2
60	-0.000000	474.137684	0.000000	7.3
61	-0.029561	472.379445	0.000882	8.6
62	-0.640168	470.638485	0.002925	6.4
63	-0.000000	468.914531	0.000000	6.5
64	-0.121362	467.207315	0.001964	6.0
65	-0.000000	465.516573	0.000000	8.8
66	-0.038241	463.842050	0.000645	6.6
67	-0.426540	462.183494	0.005940	6.5
68	-0.022026	460.540658	0.000554	6.7
69	-0.085612	458.913303	0.000205	6.9
70	-0.700635	457.301192	0.006380	13.9
71	-0.000000	455.704096	0.000000	6.8
72	-0.596167	454.121787	0.004127	7.2
73	-0.495183	452.554045	0.004338	7.0
74	-0.000000	451.000653	0.000000	10.0
75	-0.617766	449.461399	0.006162	6.5
76	-0.286954	447.936075	0.004261	6.7
77	-0.396799	446.424477	0.006213	11.8
78	-0.122020	444.926406	0.000995	6.5
79	-0.085076	443.441666	0.000596	6.8
80	-0.000000	441.970065	0.000000	6.8
81	-0.395187	440.511415	0.007801	6.9
82	-0.778050	439.065533	0.003167	15.6
83	-0.000000	437.632238	0.000000	11.3
84	-0.000000	436.211351	0.000000	4.4
85	-0.252188	434.802701	0.002174	10.3
86	-0.000007	433.406117	0.000001	6.4
87	-0.121927	432.021430	0.000683	12.3
88	-0.377974	430.648479	0.003658	7.4
89	-0.097937	429.287101	0.000382	6.7
90	-0.040552	427.937140	0.000114	7.1
91	-0.506187	426.598440	0.001806	6.7
92	-0.130368	425.270849	0.002694	6.5
93	-0.178836	423.954220	0.006588	6.9
94	-0.000000	422.648404	0.000000	9.8
95	-0.108708	421.353259	0.000773	8.3
96	-0.623121	420.068643	0.005439	6.4
97	-0.000000	418.794419	0.000000	6.9
98	-0.367771	417.530451	0.002625	7.0
99	-0.000000	416.276604	0.000000	6.5
100	-0.032321	415.032748	0.001022	6.6
101	-0.000000	413.798754	0.000000	6.1
102	-0.000000	412.574495	0.000000	7.0
103	-0.762153	411.359849	0.005472	6.7
104	-0.042069	410.154691	0.000243	7.0
105	-0.612989	408.958904	0.008439	6.9
106	-0.000355	407.772368	0.000015	8.5
107	-0.018164	406.594968	0.000297	12.2
108	-0.000000	405.426590	0.000000	8.7
109	-0.240478	404.267122	0.003942	10.5
110	-0.187313	403.116456	0.000932	5.9
111	-0.028777	401.974481	0.000622	13.3
112	-0.642135	400.841093	0.003867	4.2
113	-0.107911	399.716187	0.003866	13.2
114	-0.533864	398.599660	0.003618	8.0
115	-0.167819	397.491411	0.001655	6.9
116	-0.000000	396.391342	0.000000	6.5
117	-0.802563	395.299353	0.002779	7.0
118	-0.019713	394.215350	0.000221	7.5
119	-0.000000	393.139238	0.000000	12.7
120	-0.000000	392.070924	0.000000	6.8
121	-0.568967	391.010316	0.005201	12.7
122	-0.547772	389.957325	0.006101	6.9
123	-0.580680	388.911862	0.004370	7.0
124	-0.000000	387.873839	0.000000	6.4
125	-0.000000	386.843173	0.000000	10.9
126	-0.605657	385.819777	0.005765	6.4
127	-0.243069	384.803569	0.005285	6.8
128	-0.085371	383.794468	0.002381	7.2
129	-0.000000	382.792393	0.000000	6.7
130	-0.081697	381.797264	0.001275	6.5
131	-0.000000	380.809005	0.000000	17.0
132	-0.324860	379.827537	0.001387	2.4
133	-0.000000	378.852786	0.000000	7.6
134	-0.007548	377.884678	0.000048	7.2
135	-0.000000	376.923138	0.000000	6.4
136	-0.104619	375.968095	0.001573	6.6
137	-0.033490	375.019479	0.003980	7.4
138	-0.000000	374.077218	0.000000	6.6
139	-0.000000	373.141244	0.000000	11.6
140	-0.000000	372.211489	0.000000	7.0
141	-0.000000	371.287887	0.000000	8.8
