1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.047992	627.201626	0.000405	1788.9
1	-0.171436	623.504937	0.000959	26.3
2	-0.000000	619.865785	0.000000	23.2
3	-0.162796	616.282728	0.000329	20.6
4	-0.000000	612.754375	0.000000	20.9
5	-0.050185	609.279381	0.000504	21.0
6	-0.064828	605.856447	0.000599	22.2
7	-0.147295	602.484317	0.009097	24.4
8	-0.447876	599.161779	0.000835	21.0
9	-0.011704	595.887656	0.000245	20.6
10	-0.000000	592.660813	0.000000	20.5
11	-0.204005	589.480151	0.000560	22.9
12	-0.000000	586.344606	0.000000	21.1
13	-0.000000	583.253145	0.000000	20.9
14	-0.000000	580.204771	0.000000	20.2
15	-0.000000	577.198517	0.000000	25.2
16	-0.305406	574.233444	0.001144	24.5
17	-0.000000	571.308645	0.000000	20.4
18	-0.003338	568.423237	0.000062	20.7
19	-0.159076	565.576365	0.000328	21.2
20	-0.000000	562.767201	0.000000	23.0
21	-0.145197	559.994938	0.001200	21.8
22	-0.000000	557.258797	0.000000	21.9
23	-0.290930	554.558018	0.002684	20.4
24	-0.036567	551.891865	0.000442	27.4
25	-0.000000	549.259621	0.000000	21.4
26	-0.150146	546.660592	0.000935	21.2
27	-0.030985	544.094102	0.000531	20.5
28	-0.203172	541.559494	0.000810	20.9
29	-0.335814	539.056129	0.001251	23.7
30	-0.195306	536.583387	0.000552	22.1
31	-0.355647	534.140663	0.000979	21.8
32	-0.366580	531.727370	0.000858	23.8
33	-0.000000	529.342935	0.000000	28.0
34	-0.010576	526.986802	0.000145	22.5
35	-0.000000	524.658430	0.000000	20.1
36	-0.000000	522.357290	0.000000	21.2
37	-0.000000	520.082868	0.000000	20.6
38	-0.006563	517.834665	0.000050	23.0
39	-0.027503	515.612193	0.000326	21.6
40	-0.031766	513.414976	0.000672	20.7
41	-0.423017	511.242551	0.000729	21.3
42	-0.000000	509.094468	0.000000	25.8
43	-0.000000	506.970285	0.000000	23.0
44	-0.305398	504.869574	0.001383	20.6
45	-0.115212	502.791916	0.000973	21.2
46	-0.029882	500.736903	0.000437	20.8
47	-0.167712	498.704137	0.000911	21.6
48	-0.171475	496.693228	0.000607	22.0
49	-0.019905	494.703798	0.000377	22.0
50	-0.036563	492.735476	0.000126	22.7
51	-0.107689	490.787900	0.000867	26.0
52	-0.012167	488.860718	0.000098	27.0
53	-0.058390	486.953585	0.000444	20.6
54	-0.000995	485.066164	0.000178	23.4
55	-0.000000	483.198126	0.000000	21.6
56	-0.194557	481.349149	0.000513	24.4
57	-0.146851	479.518920	0.004681	20.5
58	-0.060749	477.707132	0.000311	20.7
