1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000000	627.201626	0.000000	1613.4
1	-0.109582	623.504937	0.000757	14.5
2	-0.172111	619.865785	0.004438	6.9
3	-0.132742	616.282728	0.001977	6.8
4	-0.640030	612.754375	0.008539	6.8
5	-0.177765	609.279381	0.002817	7.5
6	-0.016464	605.856447	0.001650	12.2
7	-0.912896	602.484317	0.011214	6.9
8	-0.612801	599.161779	0.009327	6.7
9	-0.494675	595.887656	0.005829	6.4
10	-0.483481	592.660813	0.008611	6.7
11	-0.103802	589.480151	0.002872	16.1
12	-0.463446	586.344606	0.007775	9.8
13	-0.000000	583.253145	0.000000	11.7
14	-0.073704	580.204771	0.000268	7.9
15	-0.516824	577.198517	0.004541	6.8
16	-0.654878	574.233444	0.008623	7.0
17	-0.623573	571.308645	0.014683	7.2
18	-0.704307	568.423237	0.007477	6.7
19	-0.921661	565.576365	0.008204	8.4
20	-0.349933	562.767201	0.003518	7.9
21	-0.000633	559.994938	0.000140	7.0
22	-0.326218	557.258797	0.006224	7.2
23	-0.000000	554.558018	0.000000	7.7
24	-0.535486	551.891865	0.010613	8.0
25	-0.000000	549.259621	0.000000	6.5
26	-0.505540	546.660592	0.008235	7.0
27	-0.681157	544.094102	0.005813	6.5
28	-0.019347	541.559494	0.000103	6.6
29	-0.000000	539.056129	0.000000	6.4
30	-0.000000	536.583387	0.000000	6.4
31	-0.501803	534.140663	0.005561	6.9
32	-0.716957	531.727370	0.012262	11.1
33	-0.422604	529.342935	0.003617	7.1
34	-0.000000	526.986802	0.000000	7.2
35	-0.079964	524.658430	0.004632	11.6
36	-0.943737	522.357290	0.006979	12.0
37	-0.000000	520.082868	0.000000	8.0
38	-0.000000	517.834665	0.000000	6.6
39	-0.000000	515.612193	0.000000	6.8
40	-0.331855	513.414976	0.008284	6.6
41	-0.798857	511.242551	0.010110	7.0
42	-0.000000	509.094468	0.000000	10.5
43	-0.058769	506.970285	0.000739	7.9
44	-0.173118	504.869574	0.004127	18.1
45	-0.397153	502.791916	0.004510	15.7
46	-0.269874	500.736903	0.003425	12.1
47	-0.268320	498.704137	0.007335	7.0
48	-0.000000	496.693228	0.000000	10.8
49	-0.731038	494.703798	0.010189	6.6
50	-0.216127	492.735476	0.005639	6.8
51	-0.737295	490.787900	0.006770	9.6
52	-0.000000	488.860718	0.000000	6.6
53	-0.821007	486.953585	0.007898	10.0
54	-0.000000	485.066164	0.000000	6.2
55	-0.002626	483.198126	0.000135	7.0
56	-0.774464	481.349149	0.005711	10.5
57	-0.476233	479.518920	0.008697	6.5
58	-0.000000	477.707132	0.000000	9.2
59	-0.386024	475.913485	0.004226	13.0
60	-0.732526	474.137684	0.006761	6.9
61	-0.175095	472.379445	0.002995	7.9
62	-0.451136	470.638485	0.004500	6.5
63	-0.448961	468.914531	0.008803	6.7
64	-0.484425	467.207315	0.005031	6.7
65	-0.872079	465.516573	0.011741	6.6
66	-0.519182	463.842050	0.007682	6.9
67	-0.528054	462.183494	0.008543	17.2
68	-0.000000	460.540658	0.000000	1.9
69	-0.002032	458.913303	0.000046	6.7
70	-0.000000	457.301192	0.000000	8.3
71	-0.587667	455.704096	0.011190	8.0
72	-0.722598	454.121787	0.010200	9.0
73	-0.806120	452.554045	0.008412	6.6
74	-0.953427	451.000653	0.004830	6.9
75	-0.183406	449.461399	0.004687	6.3
76	-0.776172	447.936075	0.010511	5.9
77	-0.920803	446.424477	0.008434	6.4
78	-0.930941	444.926406	0.009078	6.9
79	-0.339469	443.441666	0.005671	7.5
80	-0.013457	441.970065	0.000158	6.9
81	-0.498409	440.511415	0.003805	9.2
82	-0.000000	439.065533	0.000000	6.0
83	-0.000000	437.632238	0.000000	7.4
84	-0.450761	436.211351	0.013328	9.6
85	-0.000000	434.802701	0.000000	12.0
86	-0.670665	433.406117	0.006467	7.6
87	-0.000000	432.021430	0.000000	6.6
88	-0.000000	430.648479	0.000000	7.1
89	-0.000000	429.287101	0.000000	6.6
90	-0.595216	427.937140	0.006943	6.6
91	-0.623039	426.598440	0.007341	6.8
92	-0.686068	425.270849	0.009238	9.3
93	-0.781578	423.954220	0.011532	12.0
94	-0.141675	422.648404	0.001162	7.0
95	-0.000000	421.353259	0.000000	6.4
96	-0.545006	420.068643	0.008109	11.9
97	-0.420517	418.794419	0.004817	10.6
98	-0.699823	417.530451	0.006615	7.2
99	-0.477795	416.276604	0.005007	7.2
100	-0.424292	415.032748	0.008888	7.2
101	-0.708207	413.798754	0.005142	10.2
102	-0.467628	412.574495	0.006372	6.6
103	-0.752567	411.359849	0.007080	7.0
104	-0.141281	410.154691	0.001753	10.3
105	-0.373426	408.958904	0.009599	11.8
106	-0.592796	407.772368	0.010863	6.6
107	-0.245275	406.594968	0.005263	7.6
108	-0.000043	405.426590	0.000003	11.9
109	-0.007842	404.267122	0.001772	7.0
110	-0.436130	403.116456	0.004485	6.9
111	-0.750749	401.974481	0.004016	6.5
112	-0.897090	400.841093	0.010149	6.8
113	-0.300492	399.716187	0.005187	7.0
114	-0.000000	398.599660	0.000000	10.9
115	-0.986888	397.491411	0.012361	6.9
