1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000000	627.201626	0.000000	1644.2
1	-0.000000	623.504937	0.000000	11.6
2	-0.516449	619.865785	0.003730	8.0
3	-0.000000	616.282728	0.000000	8.6
4	-0.005209	612.754375	0.000002	8.0
5	-0.338731	609.279381	0.005277	8.4
6	-0.198666	605.856447	0.002170	13.7
7	-0.237884	602.484317	0.001979	8.2
8	-0.534020	599.161779	0.005377	13.0
9	-0.017102	595.887656	0.000747	7.8
10	-0.000000	592.660813	0.000000	16.2
11	-0.000000	589.480151	0.000000	4.1
12	-0.354118	586.344606	0.005211	13.6
13	-0.064763	583.253145	0.000543	5.1
14	-0.000000	580.204771	0.000000	8.1
15	-0.661018	577.198517	0.007108	13.6
16	-0.026191	574.233444	0.000982	13.8
17	-0.450916	571.308645	0.005668	8.4
18	-0.151374	568.423237	0.001142	8.7
19	-0.714824	565.576365	0.005154	8.4
20	-0.182067	562.767201	0.002226	10.4
21	-0.374432	559.994938	0.005022	8.7
22	-0.488034	557.258797	0.006332	8.4
23	-0.071243	554.558018	0.001413	10.7
24	-0.748074	551.891865	0.008020	8.1
25	-0.727696	549.259621	0.005835	8.3
26	-0.514109	546.660592	0.003961	11.5
27	-0.607054	544.094102	0.006174	12.6
28	-0.452429	541.559494	0.005726	8.2
29	-0.374584	539.056129	0.005326	8.5
30	-0.020833	536.583387	0.000459	8.4
31	-0.739424	534.140663	0.003501	8.5
32	-0.257193	531.727370	0.003162	8.8
33	-0.722524	529.342935	0.005133	8.7
34	-0.110636	526.986802	0.002636	8.5
35	-0.612308	524.658430	0.005088	8.4
36	-0.474046	522.357290	0.004675	10.5
37	-0.003227	520.082868	0.000228	14.1
38	-0.783184	517.834665	0.006175	7.8
39	-0.198390	515.612193	0.002955	8.7
40	-0.000000	513.414976	0.000000	8.2
41	-0.335332	511.242551	0.004396	12.5
42	-0.278533	509.094468	0.005937	8.4
43	-0.000000	506.970285	0.000000	8.2
44	-0.499401	504.869574	0.003412	8.8
45	-0.007543	502.791916	0.000583	8.3
46	-0.429988	500.736903	0.005180	8.7
47	-0.405260	498.704137	0.006256	17.2
48	-0.177838	496.693228	0.003278	8.0
49	-0.000000	494.703798	0.000000	10.0
50	-0.533068	492.735476	0.003787	9.9
51	-0.468787	490.787900	0.006098	7.8
52	-0.651027	488.860718	0.006221	8.1
53	-0.154456	486.953585	0.004132	7.9
54	-0.000000	485.066164	0.000000	8.2
55	-0.504245	483.198126	0.005202	8.2
56	-0.000000	481.349149	0.000000	8.6
57	-0.000000	479.518920	0.000000	13.6
58	-0.253192	477.707132	0.001148	13.1
59	-0.326995	475.913485	0.005431	14.4
60	-0.499417	474.137684	0.005784	8.5
61	-0.559729	472.379445	0.004848	8.5
62	-0.000000	470.638485	0.000000	12.6
63	-0.454793	468.914531	0.004154	12.0
64	-0.091570	467.207315	0.001600	8.0
65	-0.000000	465.516573	0.000000	8.3
66	-0.864085	463.842050	0.006399	11.5
67	-0.650965	462.183494	0.002548	13.2
68	-0.056985	460.540658	0.001369	9.1
69	-0.000000	458.913303	0.000000	8.5
70	-0.493509	457.301192	0.006566	8.5
71	-0.592317	455.704096	0.005864	8.4
72	-0.000000	454.121787	0.000000	8.4
73	-0.588201	452.554045	0.003384	10.1
74	-0.098524	451.000653	0.002257	8.5
75	-0.710274	449.461399	0.009113	9.4
76	-0.000000	447.936075	0.000000	8.2
77	-0.000000	446.424477	0.000000	8.2
78	-0.467104	444.926406	0.006251	14.5
79	-0.076244	443.441666	0.001050	9.1
80	-0.280880	441.970065	0.003489	8.2
81	-0.251837	440.511415	0.003563	8.5
82	-0.083949	439.065533	0.001163	8.3
83	-0.633237	437.632238	0.005258	9.6
84	-0.104689	436.211351	0.002196	8.9
85	-0.000000	434.802701	0.000000	8.0
86	-0.355087	433.406117	0.005538	8.5
87	-0.360815	432.021430	0.004177	13.4
88	-0.148947	430.648479	0.003029	13.9
89	-0.436895	429.287101	0.008367	8.2
90	-0.000000	427.937140	0.000000	8.5
91	-0.000000	426.598440	0.000000	8.6
92	-0.000000	425.270849	0.000000	9.6
93	-0.273956	423.954220	0.003792	12.1
94	-0.484483	422.648404	0.006608	8.0
95	-0.657381	421.353259	0.007027	8.4
96	-0.520764	420.068643	0.006218	11.6
97	-0.000000	418.794419	0.000000	8.6
98	-0.492717	417.530451	0.004959	14.0
99	-0.500370	416.276604	0.006754	13.0
100	-0.816272	415.032748	0.004791	8.7
101	-0.490991	413.798754	0.005190	8.8
102	-0.415945	412.574495	0.011330	8.5
103	-0.098439	411.359849	0.002343	8.4
104	-0.000000	410.154691	0.000000	11.1
105	-0.159082	408.958904	0.002238	8.1
106	-0.000000	407.772368	0.000000	9.1
107	-0.096898	406.594968	0.001478	12.5
108	-0.074086	405.426590	0.002029	9.1
109	-0.294398	404.267122	0.002444	9.4
110	-0.793485	403.116456	0.005832	8.5
111	-0.000000	401.974481	0.000000	8.9
112	-0.748126	400.841093	0.007821	10.6
113	-0.000000	399.716187	0.000000	7.7
114	-0.065746	398.599660	0.000373	8.4
115	-0.000000	397.491411	0.000000	8.2
116	-0.000000	396.391342	0.000000	8.7
117	-0.000000	395.299353	0.000000	11.5
118	-0.242529	394.215350	0.002646	11.9
119	-0.588049	393.139238	0.005064	11.9
120	-0.000000	392.070924	0.000000	12.0
121	-0.000000	391.010316	0.000000	8.7
122	-0.000000	389.957325	0.000000	7.5
123	-0.719647	388.911862	0.008077	8.5
124	-0.763385	387.873839	0.007075	9.9
125	-0.129184	386.843173	0.003558	11.9
126	-0.759053	385.819777	0.006917	11.9
127	-0.179420	384.803569	0.003844	8.1
128	-0.418700	383.794468	0.004209	10.5
129	-0.587957	382.792393	0.007720	14.1
130	-0.839690	381.797264	0.005804	8.5
131	-0.271000	380.809005	0.006320	14.3
132	-0.000000	379.827537	0.000000	8.1
133	-0.000000	378.852786	0.000000	10.4
134	-0.071111	377.884678	0.001174	7.6
135	-0.601275	376.923138	0.003081	8.6
136	-0.055549	375.968095	0.002647	13.5
137	-0.010223	375.019479	0.000149	10.7
138	-0.481155	374.077218	0.007684	14.1
139	-0.434571	373.141244	0.005480	9.8
140	-0.446010	372.211489	0.003691	8.5
141	-0.229445	371.287887	0.002929	8.6
142	-0.295421	370.370370	0.002292	9.1
143	-0.163254	369.458876	0.003658	8.4
144	-0.337629	368.553338	0.005913	8.6
145	-0.605861	367.653696	0.006291	8.2
146	-0.283395	366.759885	0.005239	8.3
147	-0.845041	365.871846	0.006618	11.7
148	-0.000000	364.989518	0.000000	13.8
149	-0.229385	364.112841	0.002710	9.7
150	-0.420679	363.241757	0.005929	8.6
151	-0.436869	362.376208	0.003490	8.7
152	-0.000000	361.516137	0.000000	8.2
153	-0.747211	360.661488	0.004198	8.5
154	-0.000000	359.812206	0.000000	8.3
155	-0.771918	358.968236	0.008155	8.7
156	-0.414405	358.129524	0.005230	8.8
157	-0.218192	357.296018	0.002433	8.5
158	-0.685936	356.467665	0.007143	8.3
159	-0.503026	355.644414	0.005262	11.3
160	-0.791681	354.826213	0.010850	11.9
161	-0.326781	354.013012	0.003729	15.6
162	-0.000000	353.204763	0.000000	8.2
163	-0.204679	352.401415	0.004074	8.4
