1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.722429	0.000000	490.331712	0.004336	1789.1
1	-0.691741	0.000000	490.331712	0.010285	12.2
2	-0.662896	0.992795	468.197235	0.014731	6.4
3	-0.659692	1.992795	447.834455	0.009889	9.1
4	-0.656350	2.992795	429.169082	0.007867	5.6
5	-0.699462	3.992795	411.997371	0.007485	15.4
6	-0.673606	4.992795	396.146926	0.009620	1.5
7	-0.651975	5.983178	381.606868	0.010037	11.0
8	-0.666675	6.983178	367.969859	0.008279	6.2
9	-0.695754	6.722224	371.433621	0.008387	11.2
10	-0.711885	7.722224	358.501697	0.005106	5.1
11	-0.673473	8.722175	346.440525	0.007075	5.9
12	-0.680682	9.722175	335.163963	0.005108	7.7
13	-0.673484	10.389303	328.040600	0.008470	6.2
14	-0.677814	10.131280	330.759474	0.005452	10.4
15	-0.721128	11.131280	320.465472	0.006996	5.9
16	-0.684508	12.131258	310.793087	0.005771	6.5
17	-0.662759	13.131257	301.687273	0.011491	5.9
18	-0.662017	14.130931	293.102561	0.008045	5.9
19	-0.682603	15.130931	284.990328	0.010030	7.3
20	-0.710607	14.869947	287.063878	0.004057	8.0
21	-0.685706	15.869946	279.278035	0.003959	8.0
22	-0.689159	15.610240	281.259176	0.006579	6.1
23	-0.699650	15.349256	283.278589	0.005173	5.7
24	-0.673879	16.349181	275.694557	0.006626	5.9
25	-0.692463	17.335104	268.604096	0.008476	6.0
26	-0.689656	18.335104	261.775486	0.008572	8.0
27	-0.696335	19.335104	255.285469	0.003600	5.8
28	-0.695622	20.334973	249.110264	0.005985	9.0
29	-0.681079	21.334514	243.228632	0.011311	6.3
30	-0.683370	22.334514	237.615817	0.006334	6.1
31	-0.699434	23.334514	232.256204	0.006219	6.0
32	-0.709622	24.334355	227.133838	0.011312	6.5
33	-0.694272	25.334355	222.231777	0.004531	5.8
34	-0.667655	26.291052	217.736031	0.008915	10.1
35	-0.671693	26.030152	218.943922	0.006880	5.7
36	-0.688149	27.030152	214.385454	0.004989	6.4
37	-0.696898	28.030112	210.013101	0.006672	6.1
38	-0.671168	29.030083	205.815490	0.004026	9.5
39	-0.683554	30.029442	201.784803	0.008616	6.3
40	-0.660802	31.029367	197.906808	0.012298	8.6
41	-0.701969	32.029367	194.174785	0.004921	6.2
42	-0.680710	33.029367	190.580910	0.005635	5.9
43	-0.703919	33.826908	187.808619	0.003279	11.7
44	-0.681647	34.097917	186.884851	0.007018	6.0
45	-0.696965	34.174233	186.626353	0.009487	6.8
46	-0.698214	35.174233	183.304076	0.005155	5.9
47	-0.676744	34.913250	184.159674	0.004656	6.3
48	-0.685083	35.913183	180.924092	0.003100	6.0
49	-0.686596	35.687649	181.643904	0.009176	6.1
50	-0.691747	36.341014	179.574185	0.006843	6.4
51	-0.705220	37.340675	176.497203	0.004885	11.0
52	-0.702241	38.340674	173.522902	0.010315	9.8
53	-0.691310	38.079689	174.289440	0.009334	10.5
54	-0.678115	39.079689	171.388469	0.009361	5.8
55	-0.690507	38.819488	172.133971	0.004251	6.1
56	-0.671005	39.480088	170.253818	0.005023	10.9
57	-0.702086	40.475959	167.495816	0.003860	6.5
58	-0.654378	40.531031	167.345902	0.006754	10.8
59	-0.670165	40.869222	166.431153	0.004821	6.0
60	-0.688290	40.610070	167.131215	0.005988	10.6
61	-0.684286	41.608869	164.464974	0.003801	5.7
62	-0.682313	42.605770	161.887294	0.004016	6.3
63	-0.661060	43.403176	159.882891	0.004241	6.5
64	-0.711288	43.171520	160.460060	0.008316	11.2
65	-0.700951	44.171502	157.997985	0.004269	7.8
66	-0.670777	43.910518	158.633244	0.005406	6.1
67	-0.702602	44.910460	156.226583	0.004480	5.8
68	-0.689938	45.910415	153.891826	0.002358	9.6
69	-0.683407	45.724286	154.321111	0.004139	5.5
70	-0.671313	45.483234	154.880641	0.004393	6.2
71	-0.700894	46.480420	152.591907	0.006047	5.9
72	-0.693477	46.219435	153.184357	0.008536	5.9
73	-0.699287	47.219435	150.938893	0.006358	6.1
74	-0.686294	46.958527	151.518379	0.004548	11.0
75	-0.682261	47.958487	149.321229	0.005913	6.2
76	-0.700116	47.709961	149.861328	0.007140	7.7
77	-0.673972	48.709961	147.711545	0.002085	5.7
78	-0.689765	49.257128	146.561157	0.005734	11.3
79	-0.688848	49.053086	146.988041	0.006012	6.0
80	-0.714525	48.792131	147.537634	0.008536	8.4
81	-0.709564	49.792131	145.453537	0.008263	11.0
82	-0.671288	50.792131	143.427500	0.012802	11.5
83	-0.680715	51.792131	141.457129	0.009581	5.9
84	-0.675524	52.792131	139.540162	0.005073	5.9
85	-0.674615	52.531151	140.035425	0.004656	10.9
86	-0.696593	53.531039	138.156748	0.004023	5.5
87	-0.685477	54.501991	136.380059	0.003497	5.9
88	-0.673334	54.253812	136.829825	0.008362	11.0
89	-0.701048	53.993189	137.305348	0.004261	10.9
90	-0.687991	54.975980	135.529228	0.004383	6.6
91	-0.675866	55.975735	133.768985	0.007228	9.2
92	-0.716325	55.715316	134.223079	0.006672	5.8
93	-0.670674	56.715316	132.495967	0.005011	11.5
94	-0.684114	57.715307	130.812752	0.003595	10.0
95	-0.702223	57.454338	131.247885	0.004598	5.6
96	-0.696291	58.343279	129.777418	0.004516	8.4
97	-0.689305	59.342719	128.163025	0.005761	6.4
98	-0.689437	60.342376	126.587967	0.004086	6.0
99	-0.652181	61.341937	125.051296	0.007958	5.8
100	-0.692249	62.338343	123.556164	0.007215	5.5
101	-0.708258	63.338343	122.091158	0.005513	7.4
102	-0.681913	64.338341	120.660490	0.006497	4.5
103	-0.704367	64.077356	121.030630	0.008278	3.9
104	-0.660096	65.077356	119.624562	0.004115	5.0
105	-0.698297	64.816373	119.988361	0.008272	8.5
106	-0.692997	65.816368	118.606274	0.008631	6.0
107	-0.688998	65.555934	118.963143	0.002407	5.8
108	-0.677480	66.405455	117.806903	0.007101	6.3
109	-0.672932	66.996495	117.015637	0.008657	14.2
110	-0.679551	67.996495	115.700803	0.006443	1.9
111	-0.707503	68.995795	114.416078	0.011674	6.4
112	-0.682668	69.995795	113.158700	0.006261	5.9
113	-0.678805	70.995795	111.928658	0.008321	6.6
114	-0.679965	70.734811	112.247094	0.009025	6.1
115	-0.704763	71.734665	111.036859	0.008126	5.2
116	-0.702074	72.734665	109.852272	0.005416	5.1
117	-0.692279	72.473705	110.158959	0.003648	6.5
118	-0.693381	72.226972	110.450502	0.008704	13.7
119	-0.694195	73.181910	109.330613	0.004503	9.7
120	-0.703464	73.930159	108.468858	0.004656	5.0
121	-0.708897	74.832707	107.447303	0.005891	9.9
122	-0.700984	74.571724	107.740716	0.003440	5.7
123	-0.672602	74.405034	107.928958	0.004291	6.3
124	-0.685230	74.874085	107.400931	0.007930	5.6
125	-0.709714	74.613107	107.694084	0.003823	6.0
126	-0.700948	75.612950	106.579563	0.007061	5.8
127	-0.699279	76.582656	105.520451	0.006243	9.1
128	-0.680442	77.582656	104.450076	0.003170	5.6
129	-0.696071	77.321811	104.727180	0.004413	5.8
130	-0.702154	77.069274	104.996862	0.007778	5.8
131	-0.662021	78.069273	103.937029	0.009695	6.1
132	-0.684107	79.069273	102.898379	0.007266	6.0
133	-0.674130	79.460196	102.497968	0.009130	5.9
134	-0.671443	80.460196	101.487740	0.006344	5.2
135	-0.677633	80.199211	101.749469	0.005632	6.9
136	-0.675533	79.938229	102.012548	0.007339	6.6
137	-0.669068	80.136567	101.812492	0.006442	6.4
138	-0.679621	81.136567	100.815665	0.004547	10.4
139	-0.700612	81.629241	100.331697	0.009697	7.1
140	-0.714232	82.628835	99.363907	0.003849	7.5
141	-0.685933	83.628790	98.414270	0.004980	9.0
142	-0.706662	83.381562	98.647364	0.004521	6.2
143	-0.675258	83.588487	98.452193	0.007262	5.9
144	-0.679427	84.588487	97.519779	0.009560	6.6
145	-0.682285	85.588090	96.605221	0.007937	11.6
146	-0.678301	86.581248	95.713390	0.007874	4.7
147	-0.679893	87.581248	94.831899	0.003980	4.4
148	-0.699644	88.577862	93.969400	0.008094	8.4
149	-0.709869	89.577861	93.119597	0.006161	8.2
150	-0.689837	89.316936	93.339847	0.005839	7.1
151	-0.696420	90.316930	92.501346	0.005073	6.7
152	-0.675060	90.055987	92.718693	0.008797	6.4
153	-0.690905	89.795120	92.936999	0.005464	5.8
154	-0.684643	90.404670	92.428495	0.005220	9.5
155	-0.694851	90.143876	92.645374	0.005929	11.2
156	-0.698617	89.883754	92.862710	0.013855	5.6
157	-0.675586	90.883445	92.032972	0.002930	6.3
158	-0.707186	90.622516	92.248108	0.006657	6.3
159	-0.696638	90.611484	92.257227	0.005929	6.0
160	-0.671766	90.350981	92.473060	0.002872	5.8
161	-0.678356	90.090630	92.689779	0.004152	5.3
162	-0.696574	90.098366	92.683325	0.008331	8.9
163	-0.685288	91.093747	91.860306	0.004427	8.0
164	-0.709621	92.093747	91.048057	0.006378	7.9
165	-0.671754	91.832763	91.258653	0.012775	5.6
166	-0.704188	92.832763	90.456962	0.006587	5.8
167	-0.681812	93.832763	89.669235	0.003397	8.3
168	-0.691171	93.676667	89.791291	0.006244	6.0
169	-0.680492	93.416787	89.995238	0.003757	6.1
170	-0.683159	93.165089	90.193649	0.005017	5.9
171	-0.683355	92.908516	90.396805	0.005654	5.9
172	-0.665385	92.647554	90.604378	0.008742	10.4
173	-0.692949	92.386569	90.812924	0.006882	8.7
174	-0.693114	93.386569	90.019012	0.006072	6.9
175	-0.694409	94.317964	89.291951	0.005200	9.0
176	-0.683066	95.317964	88.524297	0.005153	10.0
