1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.667416	627.201626	0.009043	1605.7
1	-0.431857	623.504937	0.005340	10.4
2	-0.302399	619.865785	0.007117	7.2
3	-0.773254	616.282728	0.005990	6.8
4	-0.000000	612.754375	0.000000	6.4
5	-0.225753	609.279381	0.005575	7.1
6	-0.360940	605.856447	0.006802	7.9
7	-0.147642	602.484317	0.004233	6.1
8	-0.433476	599.161779	0.010860	12.2
9	-0.632341	595.887656	0.009619	7.0
10	-0.000000	592.660813	0.000000	9.0
11	-0.259008	589.480151	0.006475	6.6
12	-0.208554	586.344606	0.005639	6.7
13	-0.000002	583.253145	0.000002	6.7
14	-1.058254	580.204771	0.015810	6.7
15	-0.000000	577.198517	0.000000	6.6
16	-0.535771	574.233444	0.006967	6.3
17	-0.320787	571.308645	0.005884	6.7
18	-0.644671	568.423237	0.005127	6.6
19	-0.158304	565.576365	0.006088	6.7
20	-0.266246	562.767201	0.003553	6.6
21	-1.017031	559.994938	0.012353	6.6
22	-0.237172	557.258797	0.008009	10.6
23	-0.178567	554.558018	0.001897	8.0
24	-0.000000	551.891865	0.000000	6.6
25	-0.903334	549.259621	0.010871	14.3
26	-0.204794	546.660592	0.003336	11.1
27	-0.587940	544.094102	0.006094	11.5
28	-0.134524	541.559494	0.005523	6.4
29	-0.003603	539.056129	0.000130	6.7
30	-0.446348	536.583387	0.007275	7.1
31	-1.008912	534.140663	0.012198	6.5
32	-0.328635	531.727370	0.005179	9.4
33	-0.711114	529.342935	0.008767	7.5
34	-0.000000	526.986802	0.000000	8.6
35	-0.000000	524.658430	0.000000	9.0
36	-0.000000	522.357290	0.000000	6.8
37	-1.063021	520.082868	0.017801	6.5
38	-0.402607	517.834665	0.008200	9.3
39	-0.754631	515.612193	0.011699	7.9
40	-0.287223	513.414976	0.006169	6.3
41	-0.000000	511.242551	0.000000	6.9
42	-0.738741	509.094468	0.011767	6.4
43	-0.000000	506.970285	0.000000	6.7
44	-0.333409	504.869574	0.001751	6.6
45	-1.137952	502.791916	0.016310	6.7
46	-0.365015	500.736903	0.003890	6.6
47	-0.110166	498.704137	0.002434	12.0
48	-0.174724	496.693228	0.002024	9.9
49	-0.917750	494.703798	0.012432	11.4
50	-0.498185	492.735476	0.014477	11.7
51	-1.084840	490.787900	0.014972	6.9
52	-0.603415	488.860718	0.006879	7.0
53	-0.488316	486.953585	0.011654	6.7
54	-0.570421	485.066164	0.012252	6.8
55	-0.009703	483.198126	0.000253	8.6
56	-0.876204	481.349149	0.011255	8.0
57	-0.230565	479.518920	0.002869	10.3
58	-1.063105	477.707132	0.014050	7.1
59	-0.111769	475.913485	0.001664	8.2
60	-0.060895	474.137684	0.001440	6.9
61	-0.000000	472.379445	0.000000	6.3
62	-1.077188	470.638485	0.006654	6.8
63	-0.413383	468.914531	0.010155	7.1
64	-0.000000	467.207315	0.000000	6.7
65	-0.999105	465.516573	0.015519	6.6
66	-0.328936	463.842050	0.003631	11.9
67	-0.000000	462.183494	0.000000	9.3
68	-0.000000	460.540658	0.000000	6.5
69	-0.000000	458.913303	0.000000	9.4
70	-0.343311	457.301192	0.008280	6.5
71	-0.000000	455.704096	0.000000	8.3
72	-0.758147	454.121787	0.005137	6.9
73	-1.276477	452.554045	0.015348	6.9
74	-0.714443	451.000653	0.008119	12.0
75	-0.990976	449.461399	0.010197	7.5
76	-0.000000	447.936075	0.000000	6.9
77	-0.412488	446.424477	0.006099	6.5
78	-0.401038	444.926406	0.006543	6.5
79	-0.358007	443.441666	0.011183	6.9
80	-0.633862	441.970065	0.006719	6.7
81	-0.058953	440.511415	0.000895	11.9
82	-0.339347	439.065533	0.008950	6.8
83	-0.314552	437.632238	0.002615	6.7
84	-0.019006	436.211351	0.000365	8.2
85	-0.817338	434.802701	0.009795	7.3
86	-0.806430	433.406117	0.013181	6.9
87	-0.092306	432.021430	0.001677	7.0
88	-1.044312	430.648479	0.009546	7.2
89	-1.248881	429.287101	0.009758	6.7
90	-0.299499	427.937140	0.006361	6.5
91	-1.028993	426.598440	0.007118	6.6
92	-0.886690	425.270849	0.013064	6.9
93	-0.150938	423.954220	0.002439	6.7
94	-0.002330	422.648404	0.000121	7.1
95	-0.915965	421.353259	0.008316	6.9
96	-0.000000	420.068643	0.000000	6.3
97	-1.120773	418.794419	0.010315	6.6
98	-0.949618	417.530451	0.006251	8.2
99	-0.265841	416.276604	0.005758	7.0
100	-0.219895	415.032748	0.006015	6.5
101	-1.254757	413.798754	0.013192	6.5
102	-0.405621	412.574495	0.008279	17.3
103	-1.179798	411.359849	0.017156	2.0
104	-0.006614	410.154691	0.000121	6.6
105	-0.000000	408.958904	0.000000	6.3
106	-0.316920	407.772368	0.004373	6.6
107	-0.000000	406.594968	0.000000	6.3
108	-1.036195	405.426590	0.008705	10.2
109	-0.778729	404.267122	0.009299	6.8
110	-1.052534	403.116456	0.012499	6.9
111	-0.638885	401.974481	0.006510	8.8
112	-0.300461	400.841093	0.007547	12.0
113	-1.271890	399.716187	0.013289	6.7
114	-0.588738	398.599660	0.006014	8.2
115	-0.908252	397.491411	0.009302	6.7
116	-0.650063	396.391342	0.002790	6.7
117	-1.052962	395.299353	0.015685	6.7
118	-0.001440	394.215350	0.000217	6.6
119	-0.030033	393.139238	0.000598	6.7
120	-0.599622	392.070924	0.006305	6.5
121	-0.451329	391.010316	0.006129	8.5
122	-0.305548	389.957325	0.006976	6.7
123	-0.341219	388.911862	0.015278	6.9
124	-1.101641	387.873839	0.010269	6.8
125	-0.000091	386.843173	0.000032	7.5
126	-0.168995	385.819777	0.001288	7.7
127	-0.026436	384.803569	0.000609	8.2
128	-0.000000	383.794468	0.000000	16.1
129	-0.499988	382.792393	0.009527	5.6
130	-0.000000	381.797264	0.000000	8.4
131	-0.000000	380.809005	0.000000	6.7
132	-0.000000	379.827537	0.000000	6.6
133	-0.000000	378.852786	0.000000	6.9
