1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.190952	627.201626	0.001544	1691.1
1	-0.000000	623.504937	0.000000	22.9
2	-0.000000	619.865785	0.000000	20.8
3	-0.000000	616.282728	0.000000	30.5
4	-0.301391	612.754375	0.002843	19.2
5	-0.000000	609.279381	0.000000	26.4
6	-0.574231	605.856447	0.003483	20.5
7	-0.435645	602.484317	0.003990	21.5
8	-0.000000	599.161779	0.000000	21.3
9	-0.000000	595.887656	0.000000	21.9
10	-0.000000	592.660813	0.000000	28.3
11	-0.103108	589.480151	0.001931	22.3
12	-0.381142	586.344606	0.004115	26.7
13	-0.161213	583.253145	0.001335	21.9
14	-0.330202	580.204771	0.003690	23.3
15	-0.677268	577.198517	0.006631	20.5
16	-0.016868	574.233444	0.000673	20.7
17	-0.000000	571.308645	0.000000	20.6
18	-0.279795	568.423237	0.002647	22.6
19	-0.000000	565.576365	0.000000	22.6
20	-0.000000	562.767201	0.000000	20.5
21	-0.011063	559.994938	0.000370	25.1
22	-0.000000	557.258797	0.000000	24.7
23	-0.000000	554.558018	0.000000	20.5
24	-0.419044	551.891865	0.002116	20.8
25	-0.000000	549.259621	0.000000	20.6
26	-0.647741	546.660592	0.002830	20.3
27	-0.000000	544.094102	0.000000	21.8
28	-0.620301	541.559494	0.007514	30.9
29	-0.191618	539.056129	0.002687	19.1
30	-0.563668	536.583387	0.003644	22.0
31	-0.260245	534.140663	0.001321	23.9
32	-0.457875	531.727370	0.002302	23.7
33	-0.002074	529.342935	0.000271	21.0
34	-0.055868	526.986802	0.000912	20.7
35	-0.195853	524.658430	0.001553	20.1
36	-0.360842	522.357290	0.004768	23.2
37	-0.151172	520.082868	0.001389	24.1
38	-0.109918	517.834665	0.001274	20.6
39	-0.655158	515.612193	0.003454	26.4
40	-0.000000	513.414976	0.000000	22.1
41	-0.000001	511.242551	0.000000	21.5
42	-0.000000	509.094468	0.000000	20.3
43	-0.117448	506.970285	0.008351	20.6
44	-0.148582	504.869574	0.002413	21.0
45	-0.608932	502.791916	0.002622	24.8
46	-0.000000	500.736903	0.000000	19.5
47	-0.019400	498.704137	0.000766	20.3
48	-0.000000	496.693228	0.000000	21.4
49	-0.100574	494.703798	0.001952	22.9
50	-0.708879	492.735476	0.003234	22.6
51	-0.000000	490.787900	0.000000	22.9
52	-0.433714	488.860718	0.003052	24.2
53	-0.063609	486.953585	0.000615	20.2
54	-0.084873	485.066164	0.000435	21.0
55	-0.515056	483.198126	0.005120	22.2
56	-0.759635	481.349149	0.006742	22.3
57	-0.379228	479.518920	0.002588	22.3
58	-0.231206	477.707132	0.005678	23.4
59	-0.000000	475.913485	0.000000	22.8
60	-0.378196	474.137684	0.003822	23.3
61	-0.176428	472.379445	0.001692	20.1
62	-0.000000	470.638485	0.000000	20.5
63	-0.000000	468.914531	0.000000	20.4
64	-0.395866	467.207315	0.002656	22.0
65	-0.267297	465.516573	0.001949	22.5
66	-0.361288	463.842050	0.003309	26.8
67	-0.275695	462.183494	0.001409	19.7
68	-0.000000	460.540658	0.000000	21.3
69	-0.118252	458.913303	0.003967	23.9
70	-0.000000	457.301192	0.000000	21.2
71	-0.000000	455.704096	0.000000	20.4
72	-0.000010	454.121787	0.000008	20.8
73	-0.505375	452.554045	0.003168	23.8
74	-0.748760	451.000653	0.003841	22.2
75	-0.000000	449.461399	0.000000	26.5
76	-0.000000	447.936075	0.000000	20.4
77	-0.613073	446.424477	0.004847	22.6
78	-0.000000	444.926406	0.000000	23.1
79	-0.000000	443.441666	0.000000	20.9
80	-0.151763	441.970065	0.006091	20.8
81	-0.220867	440.511415	0.002205	20.7
82	-0.000000	439.065533	0.000000	22.5
83	-0.008819	437.632238	0.000099	21.1
84	-0.000000	436.211351	0.000000	26.2
85	-0.142991	434.802701	0.000863	20.7
86	-0.000000	433.406117	0.000000	20.5
87	-0.000000	432.021430	0.000000	21.4
88	-0.115554	430.648479	0.001050	22.3
89	-0.328257	429.287101	0.002885	21.0
90	-0.000000	427.937140	0.000000	20.9
91	-0.136783	426.598440	0.001825	21.7
92	-0.437735	425.270849	0.002897	23.0
93	-0.247827	423.954220	0.002399	25.5
94	-0.000000	422.648404	0.000000	20.9
95	-0.509000	421.353259	0.003339	20.8
96	-0.666011	420.068643	0.003777	26.6
97	-0.237383	418.794419	0.001408	21.4
98	-0.351290	417.530451	0.002118	20.8
99	-0.288487	416.276604	0.003550	20.6
100	-0.230061	415.032748	0.002962	23.8
101	-0.357847	413.798754	0.001595	25.6
102	-0.453547	412.574495	0.001241	31.2
103	-0.000000	411.359849	0.000000	19.0
104	-0.641533	410.154691	0.004328	22.9
105	-0.384527	408.958904	0.002084	24.1
106	-0.021825	407.772368	0.000448	20.3
107	-0.618692	406.594968	0.002360	20.6
108	-0.068051	405.426590	0.000430	21.4
109	-0.000000	404.267122	0.000000	23.8
110	-0.000000	403.116456	0.000000	20.8
111	-0.623827	401.974481	0.003441	22.3
112	-0.203242	400.841093	0.001359	22.0
113	-0.000000	399.716187	0.000000	21.0
114	-0.000000	398.599660	0.000000	21.8
115	-0.000082	397.491411	0.000185	23.2
116	-0.000000	396.391342	0.000000	20.2
117	-0.000000	395.299353	0.000000	20.7
118	-0.088515	394.215350	0.001219	23.4
119	-0.498352	393.139238	0.002554	26.5
120	-0.064946	392.070924	0.001539	24.3
121	-0.536403	391.010316	0.004791	21.3
122	-0.484581	389.957325	0.002750	20.9
123	-0.000000	388.911862	0.000000	22.2
124	-0.061684	387.873839	0.001140	23.8
125	-0.576138	386.843173	0.002669	20.4
126	-0.406028	385.819777	0.002601	20.9
127	-0.411801	384.803569	0.002092	20.8
128	-0.320348	383.794468	0.002889	25.4
129	-0.052206	382.792393	0.002564	22.4
130	-0.240613	381.797264	0.003952	22.1
131	-0.000000	380.809005	0.000000	20.9
132	-0.649296	379.827537	0.005097	21.1
133	-0.020670	378.852786	0.000043	21.5
134	-0.000000	377.884678	0.000000	23.1
135	-0.252332	376.923138	0.000924	19.9
136	-0.737147	375.968095	0.002948	20.9
137	-0.281673	375.019479	0.002523	21.4
138	-0.180922	374.077218	0.002120	22.0
139	-0.429285	373.141244	0.003345	22.9
140	-0.345246	372.211489	0.001534	20.9
141	-0.625084	371.287887	0.003798	20.7
142	-0.454146	370.370370	0.002526	21.4
143	-0.547754	369.458876	0.005071	22.6
144	-0.000000	368.553338	0.000000	22.8
145	-0.141319	367.653696	0.001211	20.7
146	-0.721828	366.759885	0.004384	20.9
147	-0.000000	365.871846	0.000000	26.2
148	-0.399180	364.989518	0.002030	23.9
149	-0.261585	364.112841	0.002572	20.9
150	-0.011325	363.241757	0.000013	21.2
151	-0.000000	362.376208	0.000000	20.6
152	-0.253959	361.516137	0.001928	22.4
153	-0.000000	360.661488	0.000000	22.6
154	-0.000000	359.812206	0.000000	20.6
155	-0.000000	358.968236	0.000000	20.6
156	-0.552491	358.129524	0.003746	22.6
157	-0.353215	357.296018	0.002110	24.0
158	-0.000000	356.467665	0.000000	20.8
159	-0.699720	355.644414	0.003499	20.5
160	-0.399336	354.826213	0.002653	21.0
161	-0.000000	354.013012	0.000000	20.6
162	-0.000841	353.204763	0.000055	21.3
163	-0.000000	352.401415	0.000000	28.8
164	-0.064705	351.602922	0.000419	22.5
165	-0.000000	350.809235	0.000000	21.4
166	-0.000000	350.020308	0.000000	26.9
167	-0.709893	349.236095	0.003744	22.4
168	-0.623973	348.456550	0.003326	21.0
169	-0.519915	347.681627	0.003522	20.8
170	-0.000001	346.911283	0.000003	21.1
171	-0.266140	346.145474	0.001716	21.5
172	-0.447021	345.384157	0.001513	22.1
173	-0.384398	344.627288	0.004317	21.0
174	-0.397246	343.874826	0.003485	21.2
175	-0.004775	343.126729	0.000135	29.7
176	-0.000000	342.382957	0.000000	20.1
177	-0.137280	341.643469	0.001286	21.4
178	-0.107029	340.908224	0.001192	20.7
179	-0.422983	340.177184	0.004038	20.5
180	-0.000000	339.450309	0.000000	22.9
181	-0.492142	338.727561	0.002585	20.7
182	-0.000000	338.008902	0.000000	20.9
183	-0.296844	337.294295	0.002476	22.8
184	-0.357572	336.583703	0.002082	25.1
185	-0.144064	335.877089	0.002169	22.6
186	-0.159504	335.174416	0.000570	20.7
187	-0.000000	334.475651	0.000000	21.7
188	-0.724234	333.780756	0.009012	20.7
189	-0.194051	333.089698	0.003101	22.8
190	-0.181721	332.402443	0.003759	20.4
191	-0.000000	331.718955	0.000000	20.7
192	-0.000000	331.039203	0.000000	20.7
193	-0.077341	330.363153	0.001316	22.1
194	-0.036375	329.690771	0.000156	26.5
195	-0.483642	329.022027	0.005342	20.8
196	-0.571294	328.356888	0.003518	21.5
197	-0.119357	327.695322	0.001130	22.9
198	-0.494374	327.037299	0.004464	21.0
199	-0.554776	326.382787	0.001896	23.1
200	-0.313617	325.731758	0.003972	20.6
201	-0.385147	325.084179	0.003060	20.8
202	-0.333102	324.440023	0.006181	26.7
203	-0.000000	323.799258	0.000000	22.5
204	-0.000000	323.161858	0.000000	20.3
205	-0.000000	322.527792	0.000000	21.1
206	-0.000000	321.897034	0.000000	20.6
207	-0.717051	321.269554	0.004172	23.5
208	-0.595965	320.645325	0.003497	22.1
209	-0.412432	320.024320	0.001368	22.3
210	-0.678441	319.406512	0.004016	22.5
211	-0.348187	318.791875	0.002974	24.5
212	-0.238583	318.180381	0.002031	23.3
213	-0.186214	317.572005	0.000864	20.8
214	-0.129847	316.966721	0.003245	20.9
215	-0.000000	316.364504	0.000000	20.4
216	-0.000000	315.765329	0.000000	26.2
217	-0.000000	315.169170	0.000000	20.1
218	-0.000000	314.576003	0.000000	20.7
219	-0.000000	313.985804	0.000000	23.2
220	-0.705875	313.398548	0.004669	25.2
221	-0.333553	312.814213	0.003355	20.8
222	-0.193501	312.232773	0.002810	21.3
223	-0.761029	311.654207	0.005799	20.7
224	-0.254046	311.078491	0.001558	20.8
225	-0.609270	310.505602	0.005325	21.6
226	-0.557005	309.935518	0.006887	22.6
227	-0.000000	309.368217	0.000000	21.0
228	-0.411819	308.803676	0.005293	20.9
229	-0.430496	308.241874	0.002655	25.2
230	-0.006175	307.682789	0.001013	25.1
231	-0.252119	307.126400	0.002262	20.9
232	-0.190057	306.572687	0.001199	25.7
233	-0.703841	306.021627	0.004286	20.3
234	-0.000000	305.473201	0.000000	22.3
235	-0.048758	304.927388	0.002266	23.8
236	-0.741932	304.384168	0.003557	20.6
237	-0.025871	303.843521	0.000672	21.1
238	-0.220759	303.305427	0.002571	22.0
239	-0.264857	302.769867	0.001888	24.7
240	-0.482254	302.236821	0.004226	20.9
241	-0.398251	301.706270	0.002766	21.4
242	-0.000000	301.178196	0.000000	21.0
243	-0.626190	300.652580	0.002481	25.2
244	-0.056687	300.129402	0.000639	22.6
245	-0.000000	299.608645	0.000000	20.5
246	-0.000000	299.090291	0.000000	20.3
247	-0.150994	298.574321	0.001542	31.3
248	-0.000000	298.060718	0.000000	19.5
