1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.327840	0.000000	510.947842	0.002342	1779.9
1	-0.334914	0.000000	510.947842	0.004794	11.4
2	-0.332723	0.970546	488.376798	0.004565	11.1
3	-0.325080	1.969186	467.143449	0.003606	8.6
4	-0.314790	2.968571	447.665593	0.003156	5.9
5	-0.336717	3.926235	430.466317	0.002031	6.6
6	-0.320026	3.367578	440.335287	0.005455	5.4
7	-0.335729	3.614316	435.921298	0.003140	6.5
8	-0.289515	2.846486	449.957486	0.006950	6.3
9	-0.311167	3.846485	431.847985	0.001968	10.9
10	-0.298873	4.027499	428.724612	0.004756	2.8
11	-0.313014	3.302807	441.508860	0.005378	6.2
12	-0.315646	4.302807	424.059856	0.003112	5.3
13	-0.305835	5.302798	407.937773	0.002810	4.7
14	-0.316350	5.121133	410.774855	0.009968	4.6
15	-0.289434	6.121132	395.628944	0.008554	4.4
16	-0.299087	7.121132	381.560202	0.004493	12.8
17	-0.311536	6.352485	392.282631	0.003412	6.2
18	-0.314464	6.177332	394.810824	0.005626	4.1
19	-0.331368	5.408886	406.299028	0.003289	4.2
20	-0.341554	4.642950	418.434873	0.003570	4.3
21	-0.314568	3.934342	430.326356	0.009273	4.6
22	-0.324202	4.934342	413.733442	0.002129	4.3
23	-0.316376	5.158503	410.188028	0.003655	4.4
24	-0.317850	6.119085	395.658806	0.003116	4.3
25	-0.318556	5.371499	406.875039	0.006026	4.4
26	-0.311746	6.371497	392.010147	0.006368	4.3
27	-0.304624	5.602850	403.336654	0.005700	4.4
28	-0.327919	6.602850	388.724516	0.005562	4.4
29	-0.320752	5.834203	399.859258	0.005247	4.6
30	-0.326050	6.826033	385.606699	0.002689	4.4
31	-0.307630	7.801210	372.550476	0.004712	4.4
32	-0.329145	7.557071	375.735478	0.003564	5.5
33	-0.324255	6.788585	386.126349	0.004453	11.8
34	-0.342578	6.963728	383.707947	0.003305	10.3
35	-0.322182	7.905651	371.204400	0.002609	9.6
36	-0.338500	8.550082	363.109138	0.004817	3.9
