1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.231377	0.000000	245.312255	0.002101	1796.8
1	-0.217312	0.000000	245.312255	0.007384	5.8
2	-0.242584	0.000000	245.312255	0.008771	5.7
3	-0.238567	1.000000	234.161698	0.003125	5.9
4	-0.242060	1.998609	223.994296	0.002770	3.8
5	-0.238030	1.152215	232.552697	0.004138	3.9
6	-0.233592	1.523244	228.721817	0.004451	3.7
7	-0.243458	2.513588	219.088526	0.010572	3.8
8	-0.231513	1.608137	227.862972	0.003317	3.8
9	-0.239510	2.588564	218.392161	0.002847	3.8
10	-0.222359	1.843527	225.514971	0.001794	4.0
11	-0.222704	1.505856	228.898526	0.002739	6.2
12	-0.230181	1.983570	224.140873	0.004390	6.7
13	-0.230941	1.388204	230.101408	0.002598	5.9
14	-0.233220	1.564798	228.300619	0.001959	4.3
15	-0.234701	2.063187	223.367107	0.005932	3.8
16	-0.208874	2.986742	214.766867	0.001322	4.0
17	-0.233123	2.402619	220.127383	0.001900	3.9
18	-0.228204	2.111604	222.899171	0.002065	4.0
19	-0.247506	2.509483	219.126785	0.004935	3.7
20	-0.241118	1.663118	227.310173	0.001773	3.7
21	-0.254720	0.966728	234.516370	0.006607	4.9
22	-0.240999	0.115432	243.971200	0.002122	4.5
23	-0.219686	0.000000	245.312255	0.003273	3.7
24	-0.225148	0.427200	240.421397	0.002473	3.9
25	-0.225491	0.056213	244.657352	0.004291	6.4
26	-0.236283	0.000000	245.312255	0.002863	8.0
27	-0.241758	0.748500	236.869545	0.003549	5.8
28	-0.227345	1.662434	227.317041	0.002090	6.5
29	-0.246018	2.159406	222.439093	0.004824	6.0
30	-0.228409	1.354689	230.446392	0.006568	3.8
31	-0.248652	2.353111	220.594049	0.003148	9.2
32	-0.232034	3.049230	214.208828	0.006264	10.3
33	-0.236707	2.212683	221.928565	0.003000	6.0
34	-0.240787	1.324806	230.754851	0.005627	5.7
35	-0.229799	0.424584	240.450758	0.004620	6.5
36	-0.238365	1.242311	231.610703	0.002666	6.7
37	-0.233389	1.886083	225.095633	0.003332	11.0
38	-0.226417	2.643173	217.887737	0.004144	4.1
39	-0.220145	1.823288	225.714953	0.002403	5.8
40	-0.254079	1.849836	225.452702	0.002418	5.7
41	-0.234967	2.501577	219.200496	0.002124	6.3
42	-0.224964	3.099137	213.765218	0.002818	5.9
43	-0.242479	3.060026	214.112714	0.005414	6.1
44	-0.215763	2.575350	218.514566	0.005720	5.6
45	-0.235262	3.552538	209.817713	0.003333	5.9
46	-0.232301	4.475999	202.212183	0.002400	7.9
47	-0.233901	5.352709	195.484929	0.002004	6.1
48	-0.242404	5.653414	193.279457	0.002307	5.7
49	-0.240546	5.849585	191.867298	0.002189	6.1
50	-0.225032	6.584171	186.757738	0.003660	7.3
51	-0.245778	7.459646	181.012698	0.003987	5.8
52	-0.240351	6.590578	186.714366	0.001907	5.8
53	-0.241762	5.959513	191.084959	0.006049	6.1
54	-0.235061	6.580044	186.785680	0.001487	5.9
55	-0.240329	6.311680	188.621036	0.004339	7.8
56	-0.251426	6.024845	190.623011	0.004612	11.7
57	-0.231994	5.249440	196.253989	0.006806	6.3
58	-0.238337	6.244385	189.086939	0.003925	6.1
59	-0.221619	5.530803	194.172689	0.011789	7.9
60	-0.222239	4.625095	201.035642	0.009853	12.0
61	-0.229888	5.625095	193.485035	0.003030	6.2
62	-0.239604	4.727078	200.238725	0.003393	5.9
63	-0.233978	3.898348	206.903585	0.004569	11.2
64	-0.240055	4.886933	199.002226	0.002193	6.3
65	-0.255754	4.739045	200.145627	0.004429	4.7
66	-0.245364	4.048778	205.661027	0.003893	4.2
67	-0.242120	5.038685	197.842452	0.002196	4.6
68	-0.238665	4.417119	202.680619	0.005209	4.3
69	-0.243954	5.370305	195.354482	0.002147	4.4
70	-0.236593	6.163853	189.647521	0.003112	4.3
71	-0.228059	6.202088	189.380951	0.003721	4.3
72	-0.247110	5.450430	194.762707	0.002046	5.3
73	-0.228213	4.785607	199.784218	0.003801	4.4
74	-0.242265	4.149286	204.839109	0.012772	4.3
75	-0.235779	5.141358	197.065403	0.001413	4.4
76	-0.247150	4.671887	200.669210	0.001957	4.3
77	-0.233414	4.659790	200.763816	0.002284	4.5
78	-0.227663	4.465099	202.298739	0.003981	12.0
79	-0.232948	5.418713	194.996530	0.003785	5.4
80	-0.235596	6.376580	188.173879	0.007289	6.0
81	-0.234121	7.351600	181.702529	0.005221	5.8
82	-0.226078	8.351600	175.511980	0.001869	7.1
83	-0.232634	7.762335	179.107757	0.002037	4.7
84	-0.222280	8.023468	177.496270	0.003630	4.3
85	-0.230240	7.192115	182.730435	0.002275	4.4
86	-0.232366	7.929738	178.071345	0.003574	4.4
87	-0.231316	8.811189	172.806169	0.003480	4.3
88	-0.228637	7.972085	177.811065	0.003302	4.4
89	-0.234314	8.831497	172.688527	0.004258	7.5
90	-0.223441	7.999460	177.643214	0.003385	6.8
91	-0.233450	7.266378	182.250355	0.009949	6.3
92	-0.234784	8.266353	176.023207	0.002605	4.7
93	-0.253287	9.220302	170.466775	0.003625	4.6
94	-0.235460	9.822908	167.134045	0.005940	4.6
95	-0.276077	10.805613	161.970069	0.007672	4.3
96	-0.246882	11.801846	157.050838	0.003535	7.2
97	-0.237838	12.741656	152.676481	0.003887	6.0
98	-0.238689	13.706679	148.431298	0.008450	5.4
99	-0.237000	14.143011	146.588390	0.005999	7.0
100	-0.230561	13.237302	150.466219	0.006069	4.0
101	-0.257931	14.237292	146.196177	0.005897	3.9
102	-0.213184	13.331580	150.053021	0.004766	4.2
103	-0.247370	12.785019	152.480524	0.002251	4.3
