1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000000	627.201626	0.000000	1791.1
1	-0.024887	623.504937	0.000118	21.7
2	-0.000000	619.865785	0.000000	28.0
3	-0.000000	616.282728	0.000000	19.9
4	-0.000000	612.754375	0.000000	22.8
5	-0.000000	609.279381	0.000000	22.9
6	-0.004570	605.856447	0.000346	25.3
7	-0.379232	602.484317	0.002007	20.6
8	-0.181953	599.161779	0.001239	23.3
9	-0.035682	595.887656	0.000818	32.0
10	-0.136185	592.660813	0.001248	23.5
11	-0.087961	589.480151	0.000528	25.0
12	-0.364362	586.344606	0.001476	23.0
13	-0.135322	583.253145	0.000620	23.3
14	-0.000000	580.204771	0.000000	21.0
15	-0.000000	577.198517	0.000000	22.7
16	-0.043881	574.233444	0.000344	20.6
17	-0.015825	571.308645	0.000132	23.2
18	-0.000000	568.423237	0.000000	19.8
19	-0.127675	565.576365	0.000800	26.5
20	-0.000000	562.767201	0.000000	20.6
21	-0.019395	559.994938	0.000396	27.3
22	-0.012860	557.258797	0.000096	20.1
23	-0.148107	554.558018	0.000388	20.6
24	-0.000000	551.891865	0.000000	20.7
25	-0.392904	549.259621	0.001534	20.9
26	-0.000000	546.660592	0.000000	24.3
27	-0.011104	544.094102	0.000090	21.0
28	-0.000000	541.559494	0.000000	22.1
29	-0.203616	539.056129	0.005421	27.4
30	-0.076720	536.583387	0.000793	21.6
31	-0.173273	534.140663	0.000606	25.8
32	-0.108965	531.727370	0.002340	22.9
33	-0.043646	529.342935	0.000410	24.5
34	-0.202821	526.986802	0.001688	19.0
35	-0.000000	524.658430	0.000000	27.3
36	-0.000000	522.357290	0.000000	33.6
37	-0.363958	520.082868	0.000937	20.4
38	-0.025074	517.834665	0.001145	20.7
39	-0.000000	515.612193	0.000000	23.2
40	-0.000000	513.414976	0.000000	20.6
41	-0.003512	511.242551	0.000135	20.9
42	-0.000000	509.094468	0.000000	27.0
43	-0.009154	506.970285	0.000420	24.0
44	-0.145878	504.869574	0.000545	24.5
45	-0.000000	502.791916	0.000000	25.8
46	-0.121601	500.736903	0.001130	20.6
47	-0.155532	498.704137	0.000919	26.0
48	-0.213467	496.693228	0.001189	23.9
49	-0.000000	494.703798	0.000000	20.9
50	-0.083230	492.735476	0.000760	21.0
51	-0.207344	490.787900	0.001505	28.2
52	-0.000000	488.860718	0.000000	22.9
53	-0.000000	486.953585	0.000000	21.6
54	-0.000197	485.066164	0.000007	23.9
55	-0.000000	483.198126	0.000000	21.1
56	-0.286676	481.349149	0.004958	25.5
57	-0.048329	479.518920	0.000319	21.1
58	-0.006738	477.707132	0.000138	29.6
59	-0.448387	475.913485	0.001375	20.6
60	-0.101743	474.137684	0.008073	21.5
61	-0.010034	472.379445	0.000153	23.1
62	-0.000000	470.638485	0.000000	22.3
63	-0.050436	468.914531	0.000439	22.3
64	-0.028712	467.207315	0.000259	20.8
65	-0.007685	465.516573	0.000174	21.8
66	-0.000000	463.842050	0.000000	19.6
67	-0.027060	462.183494	0.000290	31.1
68	-0.000000	460.540658	0.000000	20.8
69	-0.000000	458.913303	0.000000	28.9
70	-0.000000	457.301192	0.000000	25.2
71	-0.119125	455.704096	0.000814	28.1
72	-0.001164	454.121787	0.000031	21.0
73	-0.008251	452.554045	0.000191	23.5
74	-0.002832	451.000653	0.000061	24.1
