1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.454163	0.000000	911.896278	0.005529	1805.0
1	-0.456288	0.000000	911.896278	0.004425	6.4
2	-0.489922	0.000000	911.896278	0.004451	6.1
3	-0.475089	0.000000	911.896278	0.003169	7.6
4	-0.472441	0.998737	870.496411	0.004134	5.0
5	-0.455095	0.525768	889.623158	0.003566	5.8
6	-0.485516	1.522684	850.245991	0.003003	4.9
7	-0.493677	2.522684	814.100203	0.005521	4.5
8	-0.481558	3.522684	780.902360	0.006319	4.6
9	-0.474268	4.522684	750.305956	0.004687	4.4
10	-0.478569	5.522684	722.016739	0.004552	4.5
11	-0.453903	6.516345	695.943522	0.006927	4.6
12	-0.439845	6.993153	684.089494	0.003885	4.5
13	-0.439988	7.993153	660.494631	0.007807	4.5
14	-0.472016	7.516850	671.526553	0.006549	9.9
15	-0.477281	8.516850	648.775936	0.003751	8.8
16	-0.467044	9.516850	627.516339	0.007998	6.0
17	-0.462286	10.515922	607.623726	0.003333	9.9
18	-0.495662	11.515922	588.936767	0.004276	5.6
19	-0.498708	12.500415	571.629390	0.003369	6.2
20	-0.477235	12.730890	567.723591	0.002444	5.7
21	-0.467344	12.264805	575.678157	0.004534	5.7
22	-0.446808	13.262701	558.911621	0.003200	5.8
23	-0.460544	14.168955	544.509262	0.003151	5.9
24	-0.483734	13.692676	551.984566	0.004532	5.7
25	-0.475784	13.216373	559.668373	0.003204	6.1
26	-0.483663	14.216063	543.780883	0.004531	6.0
27	-0.477850	15.216056	528.766080	0.004458	6.4
28	-0.459388	14.739753	535.812937	0.007196	6.1
29	-0.460095	15.739753	521.228927	0.006148	7.8
30	-0.460809	16.739753	507.417789	0.005673	11.0
31	-0.499795	17.739373	494.324516	0.004602	5.3
32	-0.476673	18.739358	481.885530	0.007904	5.8
33	-0.432876	18.263055	487.731321	0.006049	5.8
34	-0.494249	17.786752	493.720685	0.004170	8.8
35	-0.475040	17.310450	499.858967	0.006470	5.9
36	-0.453939	18.310450	487.143290	0.005123	6.0
37	-0.449593	19.310422	475.058831	0.005521	5.9
38	-0.441571	20.310035	463.563432	0.004973	5.8
39	-0.467250	21.310035	452.607085	0.004285	6.3
40	-0.448742	20.833759	457.760012	0.005153	6.2
41	-0.484804	21.833759	447.073114	0.006449	5.8
42	-0.465169	21.357455	452.100383	0.004755	6.1
43	-0.496807	22.329025	441.962907	0.004718	13.2
44	-0.479212	23.287310	432.399748	0.006699	9.4
45	-0.480025	24.287233	422.852544	0.007139	6.0
46	-0.462458	25.287233	413.717141	0.003196	6.4
47	-0.453992	26.287233	404.968117	0.004928	5.7
48	-0.459127	27.273907	396.690943	0.006258	6.2
49	-0.474090	26.802137	400.605974	0.002366	5.8
50	-0.467801	26.325834	404.637807	0.005846	5.9
51	-0.469917	27.243819	396.938352	0.005824	5.9
52	-0.508049	28.243819	388.877679	0.004761	11.5
53	-0.499220	27.768045	392.671509	0.002999	6.5
54	-0.465430	28.623468	385.902530	0.007686	5.5
55	-0.443426	29.571425	378.668821	0.004867	6.3
56	-0.497734	30.571425	371.326212	0.004725	6.2
57	-0.451798	30.095122	374.787674	0.005017	10.9
58	-0.482495	31.095122	367.593379	0.005422	5.7
59	-0.465604	30.618819	370.985279	0.007233	5.8
60	-0.480110	31.618819	363.934850	0.002419	5.7
61	-0.464795	32.618377	357.150343	0.003107	6.1
62	-0.483634	33.605981	350.690921	0.005514	6.5
63	-0.500523	34.605981	344.384209	0.003113	5.7
64	-0.484060	35.605981	338.300325	0.004484	5.8
65	-0.472967	35.384840	339.627137	0.004406	5.8
66	-0.468216	36.384840	333.708725	0.005027	4.6
67	-0.488937	37.317949	328.369263	0.008124	4.5
68	-0.472970	38.317948	322.833516	0.006812	4.4
69	-0.484262	38.011108	324.512158	0.003642	4.4
70	-0.481631	39.010701	319.106786	0.004063	4.5
71	-0.475148	38.534711	321.658099	0.002265	4.4
72	-0.468097	39.534300	316.346629	0.008940	4.5
73	-0.487914	39.057997	318.855485	0.004132	4.4
74	-0.468027	40.057997	313.633311	0.003307	4.5
75	-0.471112	39.581694	316.099147	0.007499	4.6
76	-0.497908	40.581694	310.966142	0.008544	8.8
77	-0.494269	41.581694	305.997179	0.002796	10.7
78	-0.447922	41.105391	308.343955	0.005282	10.6
79	-0.480357	42.105389	303.457790	0.002728	11.9
80	-0.517193	43.105388	298.724059	0.004120	3.0
81	-0.487002	42.629363	300.958878	0.004739	5.9
82	-0.505821	43.629363	296.302189	0.006254	5.8
83	-0.475071	43.153508	298.499997	0.006613	5.9
84	-0.472147	44.153508	293.918509	0.005371	5.9
85	-0.482612	45.153508	289.475532	0.002389	8.4
86	-0.476531	46.135821	285.240003	0.005322	10.9
87	-0.482748	45.659746	287.277148	0.004751	6.4
88	-0.457055	46.659746	283.031238	0.003499	6.3
89	-0.473240	46.215802	284.900591	0.005843	6.3
90	-0.466261	45.739499	286.933855	0.001971	5.8
91	-0.499509	46.739377	282.698523	0.004327	5.8
92	-0.475034	47.719048	278.668321	0.004038	5.9
93	-0.458781	47.416498	279.900643	0.003534	5.8
94	-0.474208	47.849700	278.139512	0.004003	5.8
95	-0.464289	48.849699	274.157541	0.003166	8.2
96	-0.480932	49.849684	270.288035	0.003183	5.8
97	-0.470525	50.849061	266.528490	0.005110	10.5
98	-0.481158	51.849061	262.869851	0.002599	4.9
99	-0.459610	52.714945	259.782082	0.005538	5.8
100	-0.496172	52.238652	261.471523	0.004857	5.8
101	-0.475219	51.762349	263.183119	0.005173	10.9
102	-0.463200	51.304610	264.849252	0.004763	6.3
103	-0.480575	50.828307	266.605503	0.002678	8.8
104	-0.464720	50.415452	268.146756	0.005251	8.0
105	-0.483039	49.939160	269.947120	0.003636	7.8
106	-0.475370	50.939154	266.194705	0.007635	5.7
107	-0.487881	51.939154	262.545161	0.005159	6.1
108	-0.487819	52.939154	258.994334	0.002631	4.7
109	-0.492290	52.462854	260.673534	0.005176	4.5
110	-0.449405	51.986566	262.374611	0.005254	4.4
111	-0.455418	51.510284	264.098013	0.005115	5.4
112	-0.464731	52.510284	260.505346	0.002042	8.7
113	-0.490498	52.334418	261.130071	0.004790	5.7
114	-0.477589	53.334253	257.617733	0.004223	5.7
115	-0.502940	54.334229	254.198154	0.001826	3.6
116	-0.477752	53.858093	255.814984	0.006135	3.6
117	-0.460071	54.856067	252.449442	0.006965	3.6
118	-0.501986	54.379764	254.044598	0.003376	3.6
119	-0.466310	55.379764	250.718526	0.003172	3.6
120	-0.501871	54.903490	252.291718	0.006702	3.6
121	-0.484965	55.903480	249.011121	0.002934	8.0
122	-0.465282	55.427177	250.562987	0.006516	6.6
123	-0.468982	56.427177	247.326876	0.003861	11.0
124	-0.450240	57.427177	244.173289	0.005656	5.8
125	-0.471195	56.959539	245.637955	0.008291	5.7
126	-0.460725	57.959539	242.527020	0.004848	10.9
127	-0.483877	57.483411	243.998339	0.004165	5.4
128	-0.495861	58.483410	240.928539	0.006268	5.9
129	-0.484709	59.483410	237.935021	0.004839	6.4
130	-0.485347	60.483410	235.014978	0.004391	6.1
131	-0.483698	60.007107	236.396812	0.004059	5.7
132	-0.427759	61.007107	233.514174	0.004422	6.0
133	-0.464851	60.530804	234.878364	0.004259	6.4
134	-0.468514	60.054501	236.258588	0.002264	6.0
135	-0.453634	59.578205	237.655107	0.005184	11.3
136	-0.478998	60.578204	234.741889	0.008351	11.5
137	-0.465856	60.101901	236.120504	0.003476	6.1
138	-0.490815	61.101901	233.244560	0.003581	10.8
139	-0.473030	60.889575	233.849324	0.005171	5.8
140	-0.489501	61.889575	231.028109	0.006212	5.7
141	-0.463964	61.413272	232.363324	0.005586	6.1
142	-0.475822	62.411773	229.581763	0.004051	7.6
143	-0.447256	63.411773	226.861979	0.004612	6.3
144	-0.450043	64.411773	224.205882	0.003618	6.5
145	-0.466199	65.373262	221.710069	0.004912	7.1
146	-0.469245	66.373262	219.172564	0.001721	5.9
147	-0.461346	67.373260	216.692492	0.003428	5.7
148	-0.467093	68.152989	214.797307	0.004671	5.7
149	-0.450572	67.677226	215.949717	0.004365	10.5
150	-0.476992	68.677226	213.541639	0.002626	7.4
151	-0.473130	69.677186	211.186769	0.004250	5.9
152	-0.489638	69.888189	210.696483	0.004166	6.2
153	-0.460358	69.411886	211.806463	0.005014	6.0
154	-0.487055	70.411886	209.489407	0.003987	11.5
155	-0.474877	69.935583	210.586673	0.002124	6.0
156	-0.467615	70.934100	208.299442	0.003590	5.8
157	-0.512890	70.605780	209.046000	0.004524	6.3
158	-0.459072	71.605779	206.788627	0.005149	5.7
159	-0.501266	72.605773	204.579497	0.005982	6.4
160	-0.462466	73.605703	202.417204	0.008910	5.1
161	-0.473597	74.605703	200.299996	0.006990	6.0
162	-0.495918	75.605703	198.226619	0.005676	3.1
163	-0.501839	76.605703	196.195728	0.003272	3.1
164	-0.486105	76.129399	197.157832	0.004173	10.2
165	-0.474394	77.129399	195.148671	0.005149	11.3
166	-0.454933	78.129399	193.180045	0.003666	6.2
167	-0.441160	79.129399	191.250741	0.002225	9.5
168	-0.483482	80.129327	189.359728	0.007154	5.8
169	-0.479334	81.129327	187.505611	0.006271	6.0
170	-0.457537	82.129327	185.687451	0.001700	5.9
171	-0.449146	81.653633	186.547921	0.002919	6.0
172	-0.491400	82.210275	185.541816	0.004647	7.4
173	-0.456678	83.210275	183.761360	0.002720	5.9
174	-0.482428	84.209899	182.015400	0.005978	6.3
175	-0.495875	83.835138	182.666061	0.003889	5.8
176	-0.505364	84.835063	180.940241	0.006243	6.4
177	-0.495189	85.835063	179.246600	0.002107	5.8
178	-0.465813	85.397447	179.983847	0.002571	6.7
179	-0.502077	84.925469	180.785812	0.006642	11.6
180	-0.464487	85.925467	179.095049	0.006355	5.7
181	-0.479989	86.924604	177.437036	0.002741	6.3
182	-0.480677	86.448488	178.223278	0.006681	5.8
183	-0.467520	87.448488	176.579887	0.005078	5.8
184	-0.479820	88.448488	174.966527	0.002217	5.9
185	-0.463158	89.212848	173.753081	0.006397	5.5
186	-0.454008	88.736544	174.507243	0.003727	10.7
187	-0.477441	89.736544	172.931365	0.006257	5.3
188	-0.454246	89.260241	173.678396	0.004284	5.8
189	-0.471200	88.788603	174.424497	0.003746	6.1
190	-0.480013	88.312300	175.184511	0.007694	5.5
191	-0.489048	89.312300	173.596433	0.002608	5.2
192	-0.512884	90.312300	172.036889	0.004103	4.3
193	-0.460395	89.836003	172.776185	0.004934	4.2
194	-0.503593	90.835912	171.231418	0.003171	4.3
195	-0.494206	90.870279	171.178816	0.007430	6.5
196	-0.459521	90.393975	171.910750	0.007891	9.6
197	-0.465456	91.393975	170.381213	0.004080	5.8
198	-0.460538	92.393975	168.878653	0.004740	11.9
199	-0.465054	91.918813	169.589295	0.007588	6.3
200	-0.508485	91.442510	170.307670	0.002651	5.8
201	-0.452566	92.441825	168.807420	0.006719	5.9
202	-0.489072	93.231147	167.640984	0.003669	5.8
203	-0.430366	92.754844	168.342914	0.002957	9.4
204	-0.472726	93.582964	167.126257	0.004762	5.2
205	-0.482846	93.106661	167.823873	0.010674	6.1
206	-0.458907	94.106661	166.365888	0.003273	5.7
207	-0.498443	95.106661	164.933016	0.006656	5.7
208	-0.492728	96.105754	163.525883	0.005474	14.6
209	-0.453697	97.105754	162.141311	0.004250	8.1
210	-0.475955	96.629451	162.797851	0.003972	3.3
211	-0.434627	97.629446	161.425535	0.005488	6.4
212	-0.473351	98.629446	160.076156	0.005782	7.3
213	-0.470447	99.629446	158.749149	0.003999	5.7
214	-0.469258	100.629446	157.443962	0.004374	6.3
215	-0.480499	101.629440	156.160069	0.003181	10.8
216	-0.474013	102.572995	154.967692	0.006552	5.6
