1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.700656	627.201626	0.004363	1777.4
1	-0.361024	623.504937	0.002610	15.6
2	-0.000000	619.865785	0.000000	9.6
3	-0.068752	616.282728	0.002933	12.7
4	-0.000000	612.754375	0.000000	13.3
5	-0.709304	609.279381	0.006967	11.7
6	-0.082063	605.856447	0.002263	6.6
7	-0.294611	602.484317	0.001145	9.4
8	-0.797240	599.161779	0.004736	8.5
9	-0.626858	595.887656	0.003105	14.2
10	-0.390817	592.660813	0.003348	14.6
11	-0.000000	589.480151	0.000000	16.2
12	-0.547785	586.344606	0.005823	9.7
13	-0.394131	583.253145	0.002252	6.7
14	-0.049935	580.204771	0.002208	4.0
15	-0.000000	577.198517	0.000000	14.8
16	-0.119164	574.233444	0.002121	8.8
17	-0.204814	571.308645	0.003788	8.2
18	-0.263304	568.423237	0.004140	12.4
19	-0.479154	565.576365	0.003536	11.5
20	-0.101172	562.767201	0.001114	11.4
21	-0.386209	559.994938	0.004840	11.6
22	-0.179966	557.258797	0.001422	10.4
23	-0.483113	554.558018	0.002829	8.8
24	-0.591208	551.891865	0.008161	8.8
25	-0.000000	549.259621	0.000000	14.5
26	-0.319783	546.660592	0.003884	10.4
27	-0.373587	544.094102	0.003143	12.7
28	-0.115852	541.559494	0.001993	14.4
29	-0.036368	539.056129	0.000418	13.1
30	-0.016216	536.583387	0.000230	11.9
31	-0.370274	534.140663	0.001715	14.1
32	-0.000000	531.727370	0.000000	14.2
33	-0.021635	529.342935	0.000399	13.7
34	-0.630512	526.986802	0.003336	10.6
35	-0.000000	524.658430	0.000000	10.2
36	-0.000000	522.357290	0.000000	17.2
37	-0.000000	520.082868	0.000000	12.2
38	-0.448681	517.834665	0.002349	9.4
39	-0.158617	515.612193	0.002374	8.9
40	-0.000000	513.414976	0.000000	12.8
41	-0.437469	511.242551	0.005182	11.8
42	-0.000000	509.094468	0.000000	11.9
43	-0.109092	506.970285	0.000745	13.5
44	-0.312669	504.869574	0.004255	17.5
45	-0.342588	502.791916	0.004046	10.0
46	-0.220964	500.736903	0.001085	14.5
47	-0.331562	498.704137	0.003818	14.3
48	-0.000000	496.693228	0.000000	14.5
49	-0.254388	494.703798	0.003764	21.0
50	-0.103395	492.735476	0.001624	9.1
51	-0.000000	490.787900	0.000000	10.2
52	-0.483265	488.860718	0.008168	11.2
53	-0.530135	486.953585	0.002852	10.8
54	-0.070148	485.066164	0.002566	13.1
55	-0.540453	483.198126	0.003259	8.6
56	-0.000000	481.349149	0.000000	10.2
57	-0.711621	479.518920	0.007051	12.7
58	-0.613433	477.707132	0.005105	15.2
59	-0.541249	475.913485	0.004931	15.6
60	-0.518152	474.137684	0.005129	11.5
61	-0.000000	472.379445	0.000000	11.1
62	-0.000000	470.638485	0.000000	13.7
63	-0.120918	468.914531	0.001694	9.9
64	-0.482604	467.207315	0.004501	14.7
