1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.383713	0.000000	991.416743	0.007100	2077.1
1	-0.395065	0.000000	991.416743	0.005490	6.4
2	-0.420651	0.000000	991.416743	0.003066	7.1
3	-0.447401	0.000000	991.416743	0.004633	11.2
4	-0.468716	0.000000	991.416743	0.004278	6.7
5	-0.449051	0.000000	991.416743	0.008703	11.0
6	-0.492823	0.000000	991.416743	0.006943	12.7
7	-0.550802	0.000000	991.416743	0.006405	10.9
8	-0.615111	0.000000	991.416743	0.005623	11.9
9	-0.581888	0.000000	991.416743	0.007543	17.2
10	-0.589640	0.999991	946.352737	0.007244	12.1
11	-0.609352	1.999991	905.206950	0.005318	7.1
12	-0.631592	1.748528	915.213127	0.007777	12.0
13	-0.696018	1.497389	925.429679	0.006022	16.7
14	-0.696317	1.245926	935.890518	0.009779	6.8
15	-0.671632	2.103726	901.142576	0.008500	7.6
16	-0.733919	3.103726	863.756549	0.011215	6.3
17	-0.692422	4.103726	829.349046	0.014276	11.8
18	-0.701208	5.103726	797.577756	0.011319	6.3
19	-0.720006	6.103726	768.150889	0.015207	6.1
20	-0.676351	7.103726	740.818183	0.014131	9.2
21	-0.745159	8.103726	715.363774	0.013409	11.5
22	-0.712989	9.103726	691.600477	0.018613	6.6
23	-0.708263	10.103726	669.365184	0.020786	6.1
24	-0.733660	11.103726	648.515107	0.015512	6.3
25	-0.779424	12.103726	628.924711	0.011560	6.8
26	-0.777978	13.103726	610.483186	0.014257	10.4
27	-0.750514	14.103726	593.092349	0.018087	6.1
28	-0.745048	15.103726	576.664894	0.017078	5.9
29	-0.773144	16.103726	561.122927	0.022081	6.1
30	-0.689639	17.103726	546.396731	0.022074	9.7
31	-0.742992	18.103726	532.423722	0.018331	12.9
32	-0.765588	19.103726	519.147556	0.013314	1.9
33	-0.765230	20.103726	506.517374	0.010736	8.8
34	-0.799554	21.103726	494.487147	0.009440	15.9
35	-0.792805	22.103726	483.015120	0.012376	9.2
36	-0.764322	23.103726	472.063321	0.009620	11.0
37	-0.808806	24.103726	461.597150	0.010568	9.4
38	-0.772899	25.103726	451.585006	0.017391	7.8
39	-0.742915	26.103726	441.997972	0.016808	5.8
40	-0.801222	27.103726	432.809537	0.009722	5.6
41	-0.787544	28.103726	423.995348	0.008383	5.8
42	-0.784297	28.129905	423.769424	0.011707	18.1
43	-0.814454	29.129905	415.315999	0.007877	4.1
44	-0.778201	30.129905	407.193238	0.008368	7.4
45	-0.817870	30.039789	407.912179	0.007636	6.5
46	-0.798375	31.039789	400.073716	0.009454	6.1
47	-0.798436	32.039789	392.530818	0.007590	5.9
48	-0.793391	33.039789	385.267081	0.009573	6.1
49	-0.822224	34.039789	378.267289	0.011155	11.3
