1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.711069	0.000000	385.175333	0.006026	2008.0
1	-0.692966	0.000000	385.175333	0.008166	10.1
2	-0.684209	1.000000	367.667370	0.006168	19.0
3	-0.692763	0.619765	374.133675	0.007210	7.3
4	-0.679823	1.619744	357.593877	0.003642	15.5
5	-0.687516	2.120416	349.850197	0.006072	12.5
6	-0.649203	3.115332	335.416575	0.007139	6.7
7	-0.674680	4.115314	322.061748	0.001971	9.4
8	-0.712751	4.464969	317.639573	0.007040	13.4
9	-0.693117	4.286317	319.883752	0.009573	11.2
10	-0.662903	5.286317	307.714541	0.008067	5.4
11	-0.689627	6.286314	296.437322	0.004681	13.1
12	-0.681664	5.906284	300.624272	0.013639	12.5
13	-0.686331	6.906267	289.851806	0.009783	7.1
14	-0.700430	7.906267	279.824506	0.005489	7.7
15	-0.683671	8.906267	270.467789	0.005431	11.4
16	-0.683546	9.897448	261.791264	0.005387	17.0
17	-0.683400	10.661397	255.474577	0.003807	2.8
18	-0.688995	11.230663	250.962321	0.004053	11.5
19	-0.683288	11.836255	246.333877	0.010638	11.4
20	-0.668514	12.836162	239.054358	0.008297	6.0
21	-0.686005	13.836162	232.192111	0.011683	6.4
22	-0.705629	14.836162	225.712842	0.014160	11.0
23	-0.696139	15.836162	219.585362	0.006534	3.1
24	-0.688170	16.836162	213.781778	0.010621	13.8
25	-0.691328	17.835705	208.279522	0.010565	21.3
26	-0.705088	18.835705	203.051059	0.007069	15.0
27	-0.691110	18.455465	205.007902	0.005475	8.0
28	-0.670281	18.249002	206.086313	0.004440	14.8
29	-0.701285	19.230438	201.058761	0.005949	13.1
30	-0.660080	20.181880	196.413618	0.006830	7.0
31	-0.701978	21.181877	191.757281	0.005720	11.2
32	-0.689419	22.174000	187.350766	0.005340	9.2
33	-0.686687	23.117412	183.344435	0.008536	6.7
34	-0.697853	22.737232	184.938133	0.006949	6.2
35	-0.688941	23.737232	180.804258	0.005163	10.8
36	-0.669372	23.358091	182.349643	0.009006	9.6
37	-0.679839	24.355276	178.340485	0.007304	9.4
38	-0.669480	25.355276	174.493232	0.005516	6.6
39	-0.677477	26.350784	170.824670	0.008265	7.8
40	-0.661563	27.350782	167.291647	0.007195	11.2
41	-0.667826	28.350770	163.901840	0.007530	6.1
42	-0.691910	28.106326	164.717719	0.003906	11.9
43	-0.718071	29.099286	161.453040	0.008251	9.4
44	-0.685495	28.870107	162.195001	0.005397	3.6
45	-0.699058	29.044363	161.630231	0.005962	14.0
46	-0.672052	29.892557	158.936444	0.006676	11.1
47	-0.669963	30.888450	155.885983	0.011011	10.6
48	-0.672500	31.888450	152.938535	0.007848	9.6
49	-0.678603	32.888361	150.100723	0.005181	7.4
50	-0.701483	33.767983	147.689975	0.007620	6.5
51	-0.682562	34.767528	145.042865	0.004201	6.1
52	-0.707235	35.103441	144.174435	0.006485	11.1
53	-0.686448	35.331380	143.591050	0.007444	12.3
54	-0.683784	36.331061	141.087255	0.007813	8.1
55	-0.686501	35.950823	142.029237	0.005593	10.9
56	-0.703929	36.950673	139.578742	0.007269	8.6
57	-0.696126	36.575412	140.488478	0.006986	12.9
58	-0.664274	37.356482	138.608115	0.002240	9.5
59	-0.653436	38.053558	136.971968	0.006194	5.5
60	-0.687334	37.784321	137.599310	0.005429	6.0
61	-0.669608	38.784142	135.298119	0.008310	9.1
62	-0.697067	39.784112	133.072306	0.011867	6.1
63	-0.675146	40.784112	130.918479	0.004529	11.4
64	-0.698789	41.614084	129.183107	0.004169	5.4
65	-0.699940	42.309741	127.763625	0.006286	6.0
66	-0.673021	41.931820	128.530877	0.006482	14.7
67	-0.692680	42.271879	127.840078	0.006781	7.9
68	-0.727969	42.272584	127.838654	0.005372	8.9
69	-0.666119	42.766507	126.848441	0.008663	7.3
70	-0.685026	43.213822	125.964812	0.008341	8.1
71	-0.709272	44.213822	124.033246	0.003514	14.4
72	-0.681146	45.200252	122.185064	0.008848	5.9
73	-0.683153	45.784413	121.116316	0.004673	7.4
74	-0.677495	45.404180	121.809831	0.004867	13.8
75	-0.672496	45.338598	121.930252	0.006739	13.5
76	-0.701031	44.962877	122.624761	0.005421	12.5
77	-0.691021	45.874735	120.952734	0.004287	16.8
78	-0.640373	45.545379	121.551370	0.004339	6.0
79	-0.692073	45.911528	120.886224	0.007864	10.3
80	-0.678053	46.869065	119.180691	0.006161	15.2
81	-0.707603	46.506781	119.820288	0.003135	16.5
82	-0.664449	47.134509	118.716377	0.007906	5.5
83	-0.674128	46.846398	119.220508	0.005476	13.2
84	-0.674108	46.483967	119.860796	0.007065	11.2
85	-0.692951	47.483945	118.110632	0.007405	6.6
86	-0.657773	48.483944	116.410807	0.009251	6.4
87	-0.710588	48.104852	117.049408	0.005799	9.8
88	-0.671515	49.104850	115.379777	0.008871	7.4
89	-0.676920	48.724611	116.008995	0.010586	10.7
90	-0.697137	49.724611	114.368703	0.008945	4.2
91	-0.692301	49.363274	114.956021	0.003837	5.4
92	-0.696995	48.983712	115.579494	0.009868	7.0
93	-0.688377	49.856548	114.155745	0.004987	7.2
94	-0.689052	50.855862	112.568158	0.007596	11.6
95	-0.674999	51.824096	111.071505	0.007557	6.6
96	-0.674561	52.824096	109.566963	0.005793	11.7
97	-0.654319	53.824058	108.102690	0.003930	11.4
98	-0.689705	54.467997	107.180293	0.005327	5.6
99	-0.658003	55.432328	105.828021	0.013638	9.1
100	-0.675829	56.432104	104.461607	0.007691	7.9
101	-0.679601	57.432104	103.129734	0.004829	6.1
102	-0.704354	57.052257	103.631622	0.006537	9.8
103	-0.702497	57.643658	102.852311	0.007527	6.1
104	-0.685971	57.263439	103.351988	0.004949	11.8
105	-0.715777	58.106230	102.250885	0.007038	14.1
106	-0.706059	57.774604	102.681342	0.006129	7.7
107	-0.698122	58.682788	101.511031	0.006382	6.7
108	-0.695792	59.560446	100.405129	0.005203	9.1
109	-0.683250	60.498952	99.248908	0.005895	6.2
110	-0.690207	61.391561	98.173671	0.004869	10.8
111	-0.690307	62.177800	97.245683	0.005914	6.6
